query,instruction,context,predicted_label,confidence,reasoning,think
State the possible outcomes of a six-sided dice roll. nan,State the possible outcomes of a six-sided dice roll.,,0,1.0,"This query asks for the basic possible outcomes of a standard six-sided die roll, which are common knowledge and do not require external retrieval.",
Rearrange the following words to make a meaningful sentence: the / project / was / but / on / successful / challenging. nan,Rearrange the following words to make a meaningful sentence: the / project / was / but / on / successful / challenging.,,0,1.0,"This query involves rearranging given words to form a meaningful sentence, which can be done through basic language understanding without requiring external information.",
Create a quiz that asks about the first Thanksgiving. nan,Create a quiz that asks about the first Thanksgiving.,,0,1.0,Crafting a quiz about the first Thanksgiving does not necessarily require external retrieval if the model has sufficient general knowledge on the topic to generate basic questions and answers.,
"Given a quotation, present an argument as to why it is relevant today. ""Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid."" – Albert Einstein","Given a quotation, present an argument as to why it is relevant today.","""Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid."" – Albert Einstein",0,1.0,"This query involves interpreting a well-known quotation and discussing its relevance in modern times. Since the quotation is widely recognized and its general message about understanding diverse abilities is clear, no external retrieval is needed; the explanation can be derived from general knowledge.",
"You are given an article about a new scientific discovery. Provide three potential implications of the discovery. In a groundbreaking discovery, researchers have successfully generated electricity from a material that mimics the way plants produce energy through photosynthesis. The material, a synthetic polymer, can absorb sunlight and produce electrical current with remarkable efficiency. This discovery has the potential to revolutionize the renewable energy landscape.",You are given an article about a new scientific discovery. Provide three potential implications of the discovery.,"In a groundbreaking discovery, researchers have successfully generated electricity from a material that mimics the way plants produce energy through photosynthesis. The material, a synthetic polymer, can absorb sunlight and produce electrical current with remarkable efficiency. This discovery has the potential to revolutionize the renewable energy landscape.",0,1.0,The query provides sufficient context to generate implications without needing additional external information.,
Answer the given open-ended question. What is the most common emotion people feel when they lose a loved one?,Answer the given open-ended question.,What is the most common emotion people feel when they lose a loved one?,0,1.0,"The query asks about a well-known emotional response to losing a loved one, which can be answered using general knowledge without requiring external data.",
"Construct a compound word using the following two words: Computer, science",Construct a compound word using the following two words:,"Computer, science",0,1.0,"This query asks for the formation of a compound word, which can be constructed using known linguistic rules and does not require external factual data.",
Create a poetic metaphor that compares the provided person to an object or concept. A runner,Create a poetic metaphor that compares the provided person to an object or concept.,A runner,0,1.0,This query asks for a creative expression (a metaphor) and does not require specific external facts or data. It can be answered through general knowledge of common associations related to runners.,
List the advantages of eating a plant-based diet for athletes. nan,List the advantages of eating a plant-based diet for athletes.,,1,1.0,"This query seeks detailed nutritional insights specifically relevant to athletes, which may require accessing specialized knowledge or recent studies on plant-based diets and athletic performance.",
Generate a conversation about sports between two friends. nan,Generate a conversation about sports between two friends.,,0,1.0,This query asks for the generation of a conversation about sports and does not require specific external information. It can be handled by the language model's ability to generate text based on general knowledge.,
"Create an algorithm to sort the following numbers from the smallest to the largest [45, -102, 10, 3400]",Create an algorithm to sort the following numbers from the smallest to the largest,"[45, -102, 10, 3400]",0,1.0,"This query asks for a general explanation of how to sort numbers using an algorithm, which can be answered using foundational knowledge of computer science without requiring external data retrieval.",
Write a haiku about being happy. nan,Write a haiku about being happy.,,0,1.0,"This query asks for a creative task (writing a haiku) that does not require specific factual information but rather imaginative output, which can be generated by the language model itself.",
Write a javascript function which calculates the square root of a number without any libraries. nan,Write a javascript function which calculates the square root of a number without any libraries.,,0,1.0,"This query asks for an explanation and implementation of a JavaScript function to calculate square roots without libraries, which can be answered using general programming knowledge and standard algorithms.",
Output a review of a movie. Movie title: The Shawshank Redemption,Output a review of a movie.,Movie title: The Shawshank Redemption,0,1.0,"The request for a review of ""The Shawshank Redemption"" can be fulfilled using general knowledge about the movie, as it's a well-known film with extensive existing information available within most language models.",
Suggest three foods to help with weight loss. nan,Suggest three foods to help with weight loss.,,0,1.0,"This query asks for general health advice on foods commonly associated with weight loss, which can be answered from the model's internal knowledge.",
"You are provided with a definition of a word. Generate an example sentence that illustrates the meaning of the word. Word: Dire
Definition: Dire means very serious or desperate; often has negative connotations.",You are provided with a definition of a word. Generate an example sentence that illustrates the meaning of the word.,"Word: Dire
Definition: Dire means very serious or desperate; often has negative connotations.",0,1.0,This query asks for an example sentence illustrating the meaning of a word based on its definition. Such tasks typically involve generating text using general knowledge and do not require specific external data.,
Design the hierarchy of a database for a grocery store. nan,Design the hierarchy of a database for a grocery store.,,0,1.0,"This query asks for a general design structure that can be addressed through systematic thinking and common database practices, which a language model can handle without external data.",
Provide three tips for writing a good cover letter. nan,Provide three tips for writing a good cover letter.,,0,1.0,This query asks for generic writing tips that are commonly known and can be answered using general knowledge about cover letters.,
"Order the following list of ingredients from lowest to highest in calories Almonds, black beans, cheddar cheese",Order the following list of ingredients from lowest to highest in calories,"Almonds, black beans, cheddar cheese",0,1.0,"This query asks for the relative calorie counts of specific foods, which can be answered using general nutritional knowledge that a language model is typically trained on.",
"Summarize the given film review:

The movie has a strong premise but is filled with cliched dialogue and over-the-top acting. nan","Summarize the given film review:

The movie has a strong premise but is filled with cliched dialogue and over-the-top acting.",,0,1.0,"This query asks for summarization of provided text, which can be done by a language model without needing external data.",
Which type of pronouns can be used to replace the word 'it'? nan,Which type of pronouns can be used to replace the word 'it'?,,0,1.0,"This question pertains to grammatical rules, which a language model can answer using its internal knowledge without requiring external retrieval.",
"Organize these three pieces of information in chronological order - The acceptance of the Constitution
- The signing of the Declaration of Independence 
- The Battle of Saratoga",Organize these three pieces of information in chronological order,"- The acceptance of the Constitution
- The signing of the Declaration of Independence 
- The Battle of Saratoga",0,1.0,The events are specific but widely known facts that a language model should know from its training data.,
Describe the process of photosynthesis in 5 sentences. nan,Describe the process of photosynthesis in 5 sentences.,,0,1.0,"This query asks for a general explanation of photosynthesis, which is a well-known biological process that most language models can describe using their built-in knowledge without needing external data.",
Look up the definition of the word 'acolyte'. nan,Look up the definition of the word 'acolyte'.,,0,1.0,"The query asks for the definition of a word, which is general knowledge that a language model can provide without external data.",
"For the following story, rewrite it in the present continuous tense. He visits the museum every week.","For the following story, rewrite it in the present continuous tense.",He visits the museum every week.,0,1.0,"This query is about rewriting a sentence in a different tense (present continuous), which can be done using general grammar rules without requiring external information.",
"Compose a one-sentence summary of the article ""How AI is Transforming the Future of Healthcare"" nan","Compose a one-sentence summary of the article ""How AI is Transforming the Future of Healthcare""",,1,1.0,"This query asks for a summary of a specific article, which requires accessing the external content to provide an accurate one-sentence overview.",
Assign a score out of 5 to the following book review. I really enjoyed this book. It was an engaging read and had an interesting plot.,Assign a score out of 5 to the following book review.,I really enjoyed this book. It was an engaging read and had an interesting plot.,0,1.0,"This query involves providing a subjective score based on the given review text. Since the model can infer and assign a score without needing external data or specific facts, retrieval is not required.",
Create a catchy headline for an article on data privacy nan,Create a catchy headline for an article on data privacy,,0,1.0,"This query asks for creative assistance in crafting a headline, which does not require factual retrieval but rather imaginative input based on existing knowledge of data privacy.",
"Sort the following list into two groups: Apples and Oranges Fuji, Honeycrisp, Granny Smith, Navel, Valencia",Sort the following list into two groups: Apples and Oranges,"Fuji, Honeycrisp, Granny Smith, Navel, Valencia",0,1.0,"This query asks for the classification of known fruits into two categories, which can be answered using common knowledge about fruit types.",
Name three European countries. nan,Name three European countries.,,0,1.0,This request can be answered using general knowledge without needing to retrieve external data.,
Explain a procedure for given instructions. How to bake a cake.,Explain a procedure for given instructions.,How to bake a cake.,0,1.0,Baking a cake is a common task with widely known procedures and ingredients. The steps are general enough to be explained using internal knowledge without requiring external data.,
Describe an example of ocean acidification. nan,Describe an example of ocean acidification.,,0,1.0,"This query asks for a description of a known environmental issue, which can be answered using the model's existing knowledge about ocean acidification and its common examples.",
Should I invest in stocks? nan,Should I invest in stocks?,,0,1.0,"This query asks for general advice about investing, which can typically be answered using known principles of finance without requiring specific external data.",
Generate a new song verse with your own unique lyrics. nan,Generate a new song verse with your own unique lyrics.,,0,1.0,This query involves generating creative content (lyrics) and does not require specific external information; it can be handled by the model's existing capabilities.,
Sing a children's song nan,Sing a children's song,,0,1.0,"This query appears to ask for a children's song lyric snippet, which is something the language model can generate based on its general knowledge of common songs and nursery rhymes.",
Identify the main character traits of a protagonist. nan,Identify the main character traits of a protagonist.,,0,1.0,"This query asks for an explanation of general character traits that apply to protagonists in stories, which is within the scope of general knowledge that a language model can provide without needing external retrieval.",
What are the 4 operations of computer? nan,What are the 4 operations of computer?,,0,1.0,"This query asks for a basic list of computer operations, which are foundational concepts that a language model can answer using general knowledge without needing external retrieval.",
Add a transition between the following two sentences The class is nearly finished. Some students can begin their summer jobs.,Add a transition between the following two sentences,The class is nearly finished. Some students can begin their summer jobs.,0,1.0,"This query is about improving sentence structure with a transition, which involves general knowledge of language use rather than requiring specific external data.",
Suggest an appropriate name for a puppy. nan,Suggest an appropriate name for a puppy.,,0,1.0,Suggesting a name is a generative task that does not require specific external information but rather creativity and common knowledge.,
Construct a linear equation in one variable. nan,Construct a linear equation in one variable.,,0,1.0,"The task is to explain how to construct a linear equation in one variable, which is a generic math problem-solving task that can be addressed using general knowledge of algebra without requiring specific external data.",
Add two new recipes to the following Chinese dish Beef and broccoli stir fry,Add two new recipes to the following Chinese dish,Beef and broccoli stir fry,0,1.0,"This query asks for creative additions to a known dish and can be addressed by generating new ideas based on general knowledge of cooking techniques and ingredients, without requiring external factual data.",
Suggest a short running route for someone who lives in the city. nan,Suggest a short running route for someone who lives in the city.,,0,1.0,"The query asks for a generic suggestion that can be answered with general knowledge about urban running routes, making external retrieval unnecessary.",
"If a, b, x, and y are real numbers such that ax+by=3, ax^2+by^2=7, ax^3+by^3=16, and ax^4+by^4=42, find ax^5+by^5. nan","If a, b, x, and y are real numbers such that ax+by=3, ax^2+by^2=7, ax^3+by^3=16, and ax^4+by^4=42, find ax^5+by^5.",,0,1.0,"This problem can be solved using mathematical reasoning and deriving a recurrence relation from the given terms, making external retrieval unnecessary.",
Generate a list of the top 10 causes of global warming. nan,Generate a list of the top 10 causes of global warming.,,0,1.0,"This query requests a summary of well-known causes of global warming, which can be answered using general knowledge about environmental science without requiring specific external data retrieval.",
Generate a smiley face using only ASCII characters nan,Generate a smiley face using only ASCII characters,,0,1.0,"This query asks for a creative task using known ASCII characters, which can be answered by general knowledge without external retrieval.",
Offer advice to someone who is starting a business. nan,Offer advice to someone who is starting a business.,,0,1.0,"This query asks for general business advice, which a language model can provide based on its training data without requiring external information.",
Find the modifiers in the sentence and list them. The girl with short curly hair laughed loudly.,Find the modifiers in the sentence and list them.,The girl with short curly hair laughed loudly.,0,1.0,"This task involves analyzing a specific sentence to identify its modifiers, which can be done using general linguistic knowledge without requiring external retrieval.",
"Edit the following sentence: ""The house was green, but large."" nan","Edit the following sentence: ""The house was green, but large.""",,0,1.0,Editting a sentence is a generic task that can be performed by a language model without requiring external data.,
Identify the components of a good formal essay? nan,Identify the components of a good formal essay?,,0,1.0,"This question asks for the general components of a formal essay, which is knowledge that can be provided from standard educational guidelines or common writing practices, without requiring external data.",
Rewrite this sentence to reflect a positive attitude I can't do this.,Rewrite this sentence to reflect a positive attitude,I can't do this.,0,1.0,"This task involves rewriting a sentence to reflect a positive attitude, which is a general text manipulation task that does not require specific external facts or data.",
List some pros and cons of using a hot air balloon for transportation. nan,List some pros and cons of using a hot air balloon for transportation.,,0,1.0,"This query asks for a general analysis of the pros and cons of hot air balloons as transportation, which can be answered using common knowledge about their characteristics and uses without requiring external data.",
Summarize what we know about the coronavirus. nan,Summarize what we know about the coronavirus.,,0,1.0,"The query asks for a general summary of known information about the coronavirus, which is widely covered in common knowledge and can be answered without retrieving external data.",
Name a famous actor who has won an Oscar for Best Actor nan,Name a famous actor who has won an Oscar for Best Actor,,0,1.0,"This query asks for a well-known fact about a famous Oscar-winning actor, which is likely within the general knowledge of a language model and does not require external data retrieval.",
Suggest a story title for the passage you just wrote. nan,Suggest a story title for the passage you just wrote.,,0,1.0,"Suggesting a story title is a generative task that typically does not require external factual information but rather relies on creativity or understanding the content of the passage, which is not provided here.",
What is the gravitational effect of the Moon on Earth? nan,What is the gravitational effect of the Moon on Earth?,,0,1.0,"This question asks for a general understanding of the Moon's gravitational effect on Earth, such as tidal forces, which is within the scope of common knowledge and does not require external retrieval.",
Compose a love poem for someone special. nan,Compose a love poem for someone special.,,0,1.0,This query is a creative request for generating text (a love poem) rather than seeking factual information. It does not require external data; it's within the capabilities of a language model.,
Create a mnemonic to remember the capital cities of the three Baltic countries. nan,Create a mnemonic to remember the capital cities of the three Baltic countries.,,0,1.0,"This task requires creativity to generate a mnemonic based on known capitals of the Baltic countries, but it does not require specific factual retrieval as the model likely already knows the capitals.",
Generate an acrostic poem. Spring,Generate an acrostic poem.,Spring,0,1.0,"This task involves generating a creative piece (an acrostic poem) based on the word ""Spring,"" which can be accomplished through linguistic creativity rather than requiring specific factual data retrieval.",
Brainstorm a creative idea for a team-building exercise. nan,Brainstorm a creative idea for a team-building exercise.,,0,1.0,"This query is about generating a creative idea, which can be addressed by the language model using its existing knowledge without needing external data.",
Create an algorithm that classifies a given text into one of five categories. This is a breathtaking landscape of mountains and lush vegetation.,Create an algorithm that classifies a given text into one of five categories.,This is a breathtaking landscape of mountains and lush vegetation.,1,1.0,"This query requires creating a detailed algorithm for text classification, which involves specific steps and methods that may need external references or specialized knowledge.",
Suggest a way to organize a closet efficiently. nan,Suggest a way to organize a closet efficiently.,,0,1.0,This query seeks advice on a common task (closet organization) that can typically be addressed using general knowledge or well-known tips without requiring specialized or external data.,
Train a GPT 3 language model to generate a realistic fake review for a given product. Product: IKEA side table,Train a GPT 3 language model to generate a realistic fake review for a given product.,Product: IKEA side table,1,1.0,This task involves generating specialized content and may require external data to train the model effectively.,
Give me a strategy to increase my productivity. nan,Give me a strategy to increase my productivity.,,0,1.0,"This query asks for general advice on productivity strategies, which can typically be answered using common knowledge and doesn't require specific external data.",
"Write a story that uses the following four words: sunset, starry, journey, adventure nan","Write a story that uses the following four words: sunset, starry, journey, adventure",,0,1.0,"This query asks for a creative task (storytelling) using given words, which does not require external factual information but can be handled by the model's generative capabilities.",
Think of a creative way to transport a car from Denver to Texas. nan,Think of a creative way to transport a car from Denver to Texas.,,0,1.0,"Creative problem-solving can often be addressed through generative thinking without needing external data, as the focus is on imaginative ideas rather than specific factual information.",
Name a famous person who embodies the following values: knowledge and creativity. nan,Name a famous person who embodies the following values: knowledge and creativity.,,0,1.0,"This query asks for a well-known figure associated with knowledge and creativity, which can be answered using general knowledge about notable individuals.",
Design a smartphone app nan,Design a smartphone app,,0,1.0,"This query is a generic request to design a smartphone app, which can be addressed using general knowledge about app development without requiring external information.",
Create an appropriate title for a song. nan,Create an appropriate title for a song.,,0,1.0,This request is about generating creative content and does not require specific factual information; it can be addressed with general knowledge or brainstorming.,
Write a 100-word description of a bustling city street scene. nan,Write a 100-word description of a bustling city street scene.,,0,1.0,This query is a request for creative writing and does not require specific external information; it can be addressed through general knowledge or imagination.,
"Rewrite the sentence using a different way of saying ""must"". Everyone must remember to bring their supplies to class.","Rewrite the sentence using a different way of saying ""must"".",Everyone must remember to bring their supplies to class.,0,1.0,"This query is about paraphrasing and finding synonyms, which can be handled by the language model's internal knowledge without needing external data.",
Convert the following graphic into a text description. nan,Convert the following graphic into a text description.,,1,1.0,"The query requires converting a specific graphic into text, which necessitates access to the visual content or detailed information about the graphic, making external retrieval necessary.",
"Imagine you are making an egg sandwich, write out a step-by-step instruction to make the sandwich. nan","Imagine you are making an egg sandwich, write out a step-by-step instruction to make the sandwich.",,0,1.0,Making an egg sandwich involves standard cooking steps that are widely known and can be described by the model's existing knowledge.,
Predict how technology will change in the next 5 years. nan,Predict how technology will change in the next 5 years.,,0,1.0,Predicting future technology changes is speculative and doesn't require specific factual data; it can be addressed through general knowledge and trends.,
Find the minimum value of 132 - 5*3 nan,Find the minimum value of 132 - 5*3,,0,1.0,"The query involves a straightforward arithmetic calculation (132 - 5*3), which can be solved using basic mathematical knowledge without the need for external retrieval.",
Provide a step-by-step explanation of how a physical computer is powered up. nan,Provide a step-by-step explanation of how a physical computer is powered up.,,0,1.0,This query asks for an explanation of a common technical procedure that can be answered using general knowledge without requiring specific external data.,
Come up with some creative ways to recycle cardboard. nan,Come up with some creative ways to recycle cardboard.,,0,1.0,"This query asks for creative suggestions, which a language model can generate using its existing knowledge and creativity without requiring external retrieval of specific facts or data.",
Construct a regular expression that matches all 5-digit numbers that start with 4. nan,Construct a regular expression that matches all 5-digit numbers that start with 4.,,0,1.0,"This query requests the construction of a regular expression based on standard regex syntax, which does not require external data retrieval.",
Describe the scenario of two people eating at a restaurant for the first time nan,Describe the scenario of two people eating at a restaurant for the first time,,0,1.0,"This query asks for a general description of a common scenario, which can be answered using the language model's existing knowledge without requiring external data.",
"Given a list of activities, generate a schedule for completing the activities within one day. Wake up, Cooking, Reading, Sleep","Given a list of activities, generate a schedule for completing the activities within one day.","Wake up, Cooking, Reading, Sleep",0,1.0,"This query involves scheduling common daily activities, which can be answered using general knowledge without needing external information.",
What is the most common type of moons found in the Solar System? nan,What is the most common type of moons found in the Solar System?,,0,1.0,"The query asks about the most common type of moons in the Solar System, which is a general knowledge question that can be answered using known astronomical facts without needing to retrieve external information.",
"Create a chart showing the ratios of different planets to each other. The radius of Jupiter is 69,911 km, and the radius of Earth is 6,371 km.",Create a chart showing the ratios of different planets to each other.,"The radius of Jupiter is 69,911 km, and the radius of Earth is 6,371 km.",1,1.0,"This query requires creating a detailed chart based on specific planetary data. Since only Jupiter and Earth's radii are provided, external information about the radii of other planets would be needed to complete the chart accurately.",
Identify the defining feature of a neuron. nan,Identify the defining feature of a neuron.,,0,1.0,"The defining feature of a neuron is a fundamental biology concept that can be answered using general knowledge about neurons, without needing external data.",
Create four distinct 15-word character biographies. nan,Create four distinct 15-word character biographies.,,0,1.0,"This query asks for creative writing of character biographies, which is a generative task and does not require specific factual information or external data retrieval.",
"Transfer the following sentence from the active to the passive voice: ""I am writing a book."" nan","Transfer the following sentence from the active to the passive voice: ""I am writing a book.""",,0,1.0,This is a grammatical transformation task that can be performed using general language rules without requiring external information.,
"Given a list of two or more colors, generate a sentence to describe the colors. Turquoise and orange","Given a list of two or more colors, generate a sentence to describe the colors.",Turquoise and orange,0,1.0,"This task involves generating a descriptive sentence using known colors and their typical associations, which can be accomplished by the language model without requiring external data.",
Translate the word 'giraffe' to French. nan,Translate the word 'giraffe' to French.,,0,1.0,The translation of 'giraffe' to French is a simple linguistic conversion that a language model can perform without needing external data.,
Provide an example sentence for the use of the phrase 'lo and behold'. nan,Provide an example sentence for the use of the phrase 'lo and behold'.,,0,1.0,"The query asks for a common idiom's usage, which a language model can provide using its built-in knowledge without needing external data.",
How many animals live in the rainforest? nan,How many animals live in the rainforest?,,1,1.0,"This query asks for a specific and detailed count of animals in the rainforest, which requires factual data that cannot be inferred or answered from general knowledge alone.",
Tell me about Copacabana Beach. nan,Tell me about Copacabana Beach.,,0,1.0,"The query asks for information about Copacabana Beach, which is a well-known location with readily available general knowledge in standard datasets. No external retrieval is needed as it can be answered from existing knowledge.",
Describe the impact of given event. The assassination of John F. Kennedy,Describe the impact of given event.,The assassination of John F. Kennedy,0,1.0,This query asks for an analysis of a well-known historical event whose impact is commonly documented and can be addressed using general knowledge without external data.,
Select the correct way to address an unknown person in a formal letter. nan,Select the correct way to address an unknown person in a formal letter.,,0,1.0,"The query asks for a standard form of address used in formal letters, which is a well-known convention that most language models can answer using their built-in general knowledge.",
Explain the differences between a variable and a constant. nan,Explain the differences between a variable and a constant.,,0,1.0,This question asks for an explanation of fundamental programming concepts that are typically part of general knowledge and do not require external data for an answer.,
"Add five entries to a list of US states. California, Florida, Texas, New York,",Add five entries to a list of US states.,"California, Florida, Texas, New York,",0,1.0,"This query asks for a continuation of a list of US states, which can be answered using general knowledge without requiring external data retrieval.",
Rearrange the following half-sentences to form a logical sentence. The latest polls showed that  \  she will be re-elected,Rearrange the following half-sentences to form a logical sentence.,The latest polls showed that  \  she will be re-elected,0,1.0,"This query involves a grammatical or syntactical rearrangement task, which can be addressed by general language understanding and does not require external information.",
"Edit the following sentence to make it more concise: ""She was extremely skeptical and was not willing to try it out"" nan","Edit the following sentence to make it more concise: ""She was extremely skeptical and was not willing to try it out""",,0,1.0,"This query is about editing a sentence to make it more concise, which is a task of summarization or paraphrasing and does not require specific external information.",
Generate a headline for an article that reviews a tourist destination. Destination Name: Reykjavik,Generate a headline for an article that reviews a tourist destination.,Destination Name: Reykjavik,0,1.0,"This task involves generating a creative headline based on known characteristics of Reykjavik, which a language model can handle without requiring external retrieval.",
"Categorize the ships in ""Star Trek"" by type. nan","Categorize the ships in ""Star Trek"" by type.",,0,1.0,"This task involves organizing known information about ""Star Trek"" ships into categories, which a language model can handle using its existing knowledge without needing external data.",
Develop a strategy for managing a large project nan,Develop a strategy for managing a large project,,0,1.0,"This query asks for a general strategy based on well-known project management principles and methods, which can be answered using common knowledge without requiring external data retrieval.",
"Describe the game of chess in terms of its key components: objective, player interaction, and basic rules. nan","Describe the game of chess in terms of its key components: objective, player interaction, and basic rules.",,0,1.0,"This query asks for a description of chess, which is a well-known game with established rules and objectives that can be explained using general knowledge without requiring external data retrieval.",
"Classify each of the following words as an adjective, verb, noun, or adverb. challenge","Classify each of the following words as an adjective, verb, noun, or adverb.",challenge,0,1.0,"Determining the part of speech for the word ""challenge"" (which can be a noun or a verb) relies on basic linguistic knowledge that a language model typically possesses without needing external data.",
Express the following phrase as an interrogative sentence. He ate dinner.,Express the following phrase as an interrogative sentence.,He ate dinner.,0,1.0,"This query involves transforming a sentence into an interrogative form, a task that requires general grammatical knowledge and does not necessitate external data retrieval.",
"Summarize this blog post about artificial intelligence. In recent years, artificial intelligence (AI) has developed rapidly and become more advanced. AI has been applied in a number of areas, such as healthcare, finance, and manufacturing, with the potential to revolutionize these industries. AI can also help solve complex problems that require large-scale data analysis and machine learning. AI is also becoming more accessible, with tools like software-as-a-service making it easier to access and use.",Summarize this blog post about artificial intelligence.,"In recent years, artificial intelligence (AI) has developed rapidly and become more advanced. AI has been applied in a number of areas, such as healthcare, finance, and manufacturing, with the potential to revolutionize these industries. AI can also help solve complex problems that require large-scale data analysis and machine learning. AI is also becoming more accessible, with tools like software-as-a-service making it easier to access and use.",0,1.0,"This query involves summarizing provided text about artificial intelligence, which can be accomplished using general knowledge and the given content without needing external information.",
"Convert the given numbers into a rate per 100,000 people Number of cases: 530
Population: 54,816","Convert the given numbers into a rate per 100,000 people","Number of cases: 530
Population: 54,816",0,1.0,"This query involves a straightforward mathematical calculation using the given numbers, which can be computed directly without requiring external factual data.",
