query,instruction,context,predicted_label,confidence,reasoning
"Did Trump lose the 2020 presidential election? Trump lost the 2020 presidential election to Joe Biden but refused to concede defeat, falsely claiming widespread electoral fraud and attempting to overturn the results by pressuring government officials, mounting scores of unsuccessful legal challenges, and obstructing the presidential transition. On January 6, 2021, Trump urged his supporters to march to the U.S. Capitol, which many of them then attacked, resulting in multiple deaths and interrupting the electoral vote count.",Did Trump lose the 2020 presidential election?,"Trump lost the 2020 presidential election to Joe Biden but refused to concede defeat, falsely claiming widespread electoral fraud and attempting to overturn the results by pressuring government officials, mounting scores of unsuccessful legal challenges, and obstructing the presidential transition. On January 6, 2021, Trump urged his supporters to march to the U.S. Capitol, which many of them then attacked, resulting in multiple deaths and interrupting the electoral vote count.",0,1.0,
"classify each of the following as either a city or a county: usa, mexico, cananda, syracuse, austin, mumbai, japan, tokyo ","classify each of the following as either a city or a county: usa, mexico, cananda, syracuse, austin, mumbai, japan, tokyo",,1,1.0,"This query requires looking up geographical classifications (city or county) for various locations, which necessitates accessing a database of geographical information."
"Which characters belong to DC or Marvel Universe? Electro, Black Lightning ","Which characters belong to DC or Marvel Universe? Electro, Black Lightning",,1,1.0,"This query requires knowledge of specific character affiliations within distinct fictional universes (DC and Marvel), which is best answered by referencing external databases of comic book characters."
Name some popular breakfast foods in the United States ,Name some popular breakfast foods in the United States,,0,1.0,"This query asks for a general list of common breakfast foods, which a language model could likely answer based on its training data without needing to access external sources."
What items can be easily composted at home? ,What items can be easily composted at home?,,1,1.0,
"Extract the family that Eudaronia is part of from the text. Eudaronia is a genus of sea snails, marine gastropod mollusks in the family Eudaroniidae within the superfamily Seguenzioidea.",Extract the family that Eudaronia is part of from the text.,"Eudaronia is a genus of sea snails, marine gastropod mollusks in the family Eudaroniidae within the superfamily Seguenzioidea.",0,1.0,The query asks for specific information directly stated within the provided text.
What is the difference between a Fender Strat and Gibson Les Paul guitar? ,What is the difference between a Fender Strat and Gibson Les Paul guitar?,,1,1.0,"This query requires specific details and knowledge about the technical differences between two distinct guitar models, which is best answered by retrieving information from a source specializing in musical instruments."
"How many children did Louis Pasteur have, and how many died of typhoid fever? Pasteur married Marie Pasteur (née Laurent) in 1849. She was the daughter of the rector of the University of Strasbourg, and was Pasteur's scientific assistant. They had five children together, three of whom died as children. Their eldest daughter, Jeanne, was born in 1850. She died from typhoid fever, aged 9, whilst at the boarding school Arbois in 1859. In 1865, 2-year-old Camille died of a liver tumour. Shortly after they decided to bring Cécile home from boarding school, but she too died of typhoid fever on 23 May 1866 at the age of 12. Only Jean Baptiste (b. 1851) and Marie Louise (b. 1858) survived to adulthood. Jean Baptiste would be a soldier in the Franco-Prussian War between France and Prussia.","How many children did Louis Pasteur have, and how many died of typhoid fever?","Pasteur married Marie Pasteur (née Laurent) in 1849. She was the daughter of the rector of the University of Strasbourg, and was Pasteur's scientific assistant. They had five children together, three of whom died as children. Their eldest daughter, Jeanne, was born in 1850. She died from typhoid fever, aged 9, whilst at the boarding school Arbois in 1859. In 1865, 2-year-old Camille died of a liver tumour. Shortly after they decided to bring Cécile home from boarding school, but she too died of typhoid fever on 23 May 1866 at the age of 12. Only Jean Baptiste (b. 1851) and Marie Louise (b. 1858) survived to adulthood. Jean Baptiste would be a soldier in the Franco-Prussian War between France and Prussia.",0,1.0,The query's answer is fully contained within the provided text.  There is no need to retrieve external information.
"Provide a list of ten countries that don't have any ocean borders, in alphabetical order. ","Provide a list of ten countries that don't have any ocean borders, in alphabetical order.",,1,1.0,"This query requires specific geographical knowledge about countries without ocean borders, which is a factual dataset that a language model is unlikely to have memorized."
"I am going to Stockholm over the weekend, what should I do? I love going to museums and being in nature! ","I am going to Stockholm over the weekend, what should I do? I love going to museums and being in nature!",,0,1.0,This query seeks recommendations based on user preferences (museums and nature) and can be answered by a language model using general knowledge about Stockholm's attractions.
"Which of these books won a Pulitzer Prize for fiction? The Road, Lonesome Dove, Ender's Game, Avator the Lost Adventures, Prodigal Summer, The Joy Luck Club, Cloudsplitter, Blink, The Dancer Upstairs, The Known World, Millhauser, All the Light We Cannot See, and Age of Iron, ","Which of these books won a Pulitzer Prize for fiction? The Road, Lonesome Dove, Ender's Game, Avator the Lost Adventures, Prodigal Summer, The Joy Luck Club, Cloudsplitter, Blink, The Dancer Upstairs, The Known World, Millhauser, All the Light We Cannot See, and Age of Iron,",,1,1.0,
Are universities becoming obsolete ? ,Are universities becoming obsolete ?,,1,1.0,
"Give me a list of the best animals one can have for a pet, starting with the best pet first. ","Give me a list of the best animals one can have for a pet, starting with the best pet first.",,0,1.0,
How can I have a productive day? ,How can I have a productive day?,,0,1.0,"This query seeks general advice on productivity, which can be answered using common knowledge and strategies that a language model can provide without needing external data."
"Which one among the following three words is different to the others: Novelty, Playful, Irresistible? Why? ","Which one among the following three words is different to the others: Novelty, Playful, Irresistible? Why?",,0,1.0,"This query asks for a comparative analysis of words based on their semantic meaning, which can be determined through the language model's understanding of word relationships and concepts."
Can AI take my job ,Can AI take my job,,0,1.0,
"Map the following models sold in the UK to either the Ford or Vauxhall brands: Escort, Cavalier, Nova, Ka ","Map the following models sold in the UK to either the Ford or Vauxhall brands: Escort, Cavalier, Nova, Ka",,1,1.0,"This query requires specific knowledge about car models and their respective brands, which is likely to be found in a database of automotive information rather than general knowledge."
What's the best baseball team? ,What's the best baseball team?,,1,1.0,
Give me a list of the most famous tech companies in the world ,Give me a list of the most famous tech companies in the world,,1,1.0,
Give me a list of things to buy a 12 year old boy ,Give me a list of things to buy a 12 year old boy,,1,1.0,
Why I want to visit Chicago ,Why I want to visit Chicago,,0,1.0,This is a personal and subjective query that does not require specific factual information about Chicago. It invites reflection and personal opinion.
"Is this a list of universities or companies: Alphabet, Microsoft, Dell, John Deere, and JP Morgan Chase? ","Is this a list of universities or companies: Alphabet, Microsoft, Dell, John Deere, and JP Morgan Chase?",,1,1.0,
"Is Moore's law still viable? Moore's law is the observation that the number of transistors in an integrated circuit (IC) doubles about every two years. Moore's law is an observation and projection of a historical trend. Rather than a law of physics, it is an empirical relationship linked to gains from experience in production. The observation is named after Gordon Moore, the co-founder of Fairchild Semiconductor and Intel (and former CEO of the latter), who in 1965 posited a doubling every year in the number of components per integrated circuit, and projected this rate of growth would continue for at least another decade. In 1975, looking forward to the next decade, he revised the forecast to doubling every two years, a compound annual growth rate (CAGR) of 41%. While Moore did not use empirical evidence in forecasting that the historical trend would continue, his prediction held since 1975 and has since become known as a ""law"". Moore's prediction has been used in the semiconductor industry to guide long-term planning and to set targets for research and development, thus functioning to some extent as a self-fulfilling prophecy. Advancements in digital electronics, such as the reduction in quality-adjusted microprocessor prices, the increase in memory capacity (RAM and flash), the improvement of sensors, and even the number and size of pixels in digital cameras, are strongly linked to Moore's law. These ongoing changes in digital electronics have been a driving force of technological and social change, productivity, and economic growth. Industry experts have not reached a consensus on exactly when Moore's law will cease to apply. Microprocessor architects report that semiconductor advancement has slowed industry-wide since around 2010, slightly below the pace predicted by Moore's law. In September 2022 Nvidia CEO Jensen Huang considered Moore's law dead, while Intel CEO Pat Gelsinger was of the opposite view.",Is Moore's law still viable?,"Moore's law is the observation that the number of transistors in an integrated circuit (IC) doubles about every two years. Moore's law is an observation and projection of a historical trend. Rather than a law of physics, it is an empirical relationship linked to gains from experience in production. The observation is named after Gordon Moore, the co-founder of Fairchild Semiconductor and Intel (and former CEO of the latter), who in 1965 posited a doubling every year in the number of components per integrated circuit, and projected this rate of growth would continue for at least another decade. In 1975, looking forward to the next decade, he revised the forecast to doubling every two years, a compound annual growth rate (CAGR) of 41%. While Moore did not use empirical evidence in forecasting that the historical trend would continue, his prediction held since 1975 and has since become known as a ""law"". Moore's prediction has been used in the semiconductor industry to guide long-term planning and to set targets for research and development, thus functioning to some extent as a self-fulfilling prophecy. Advancements in digital electronics, such as the reduction in quality-adjusted microprocessor prices, the increase in memory capacity (RAM and flash), the improvement of sensors, and even the number and size of pixels in digital cameras, are strongly linked to Moore's law. These ongoing changes in digital electronics have been a driving force of technological and social change, productivity, and economic growth. Industry experts have not reached a consensus on exactly when Moore's law will cease to apply. Microprocessor architects report that semiconductor advancement has slowed industry-wide since around 2010, slightly below the pace predicted by Moore's law. In September 2022 Nvidia CEO Jensen Huang considered Moore's law dead, while Intel CEO Pat Gelsinger was of the opposite view.",0,1.0,"This query asks for an opinion or a current debate within the semiconductor industry, which can be addressed by analyzing the provided text and understanding the different perspectives presented."
What are the benefits of working with a coach? ,What are the benefits of working with a coach?,,0,1.0,"This query seeks general knowledge about the advantages of coaching, which can be answered based on common understanding and typical coaching principles."
"When did the maximum rate of water usage begin to be mandated? A low-flow fixture is a water saving plumbing fixture designed to achieve water savings by having a lower flow rate of water or a smaller quantity per flush. Some of these low-flow fixtures are faucets, showerheads, and toilets. In the United States a maximum water usage of conventional plumbing fixtures was federally mandated by the Energy policy act of 1992. Low-flow fixtures are designed to save water over conventional fixtures by having a lower flow rate while still maintaining satisfactory performance. The Environmental protection agency (EPA) WaterSense program has requirements for plumbing fixtures to achieve their definition for water saving low-flow.",When did the maximum rate of water usage begin to be mandated?,"A low-flow fixture is a water saving plumbing fixture designed to achieve water savings by having a lower flow rate of water or a smaller quantity per flush. Some of these low-flow fixtures are faucets, showerheads, and toilets. In the United States a maximum water usage of conventional plumbing fixtures was federally mandated by the Energy policy act of 1992. Low-flow fixtures are designed to save water over conventional fixtures by having a lower flow rate while still maintaining satisfactory performance. The Environmental protection agency (EPA) WaterSense program has requirements for plumbing fixtures to achieve their definition for water saving low-flow.",1,1.0,
What are 5 really good golf ball brands for amateur players ,What are 5 really good golf ball brands for amateur players,,1,1.0,
Who was General Sir Henry Clinton ,Who was General Sir Henry Clinton,,1,1.0,"This query asks for biographical information about a historical figure, requiring specific details about General Sir Henry Clinton that are unlikely to be stored within a general language model."
"Classify these as healthy or not healthy food options or not a food: french fries, KFC, apple, fruit salad, steak, beer, wine, whisky, potato chips, baked cauliflower, wrench, gravel, McDonald's, Turkish kebab, pear, bricks, aloe vera, sand. ","Classify these as healthy or not healthy food options or not a food: french fries, KFC, apple, fruit salad, steak, beer, wine, whisky, potato chips, baked cauliflower, wrench, gravel, McDonald's, Turkish kebab, pear, bricks, aloe vera, sand.",,0,1.0,"This query asks for a classification based on general knowledge about food and health, which a language model could potentially answer based on its training data without needing external retrieval."
What is the smallest country in the world? ,What is the smallest country in the world?,,1,1.0,This query asks for a specific factual piece of geographical information (the smallest country) that is unlikely to be known by a language model without external data.
What is a skiff? ,What is a skiff?,,1,1.0,
Why was there a storm in San Francisco last week? ,Why was there a storm in San Francisco last week?,,1,1.0,"This query requires specific weather data from last week in San Francisco, which is not something a language model would typically know without accessing external weather records."
"Given a reference text about Adventfjorden, how wide and long is it? Adventfjorden (Advent Bay) is a 7 km long and 4 km wide bay running south-eastwards from the southern side of Isfjorden, on the west coast of Spitsbergen in Svalbard. The name represents a corruption of Adventure Bay - probably named after the Hull-built whaleship Adventure, which operated in Isfjorden in 1656. The fjord was originally[when?] known as Klass Billen Bay. At the head of Adventfjorden is Adventdalen (Advent Valley).

The former mining-camp of Longyearbyen (now Svalbard's main town) lies on the fjord's southwestern shore, while another former mining-camp, Hiorthhamn, is located on its northeastern shore.","Given a reference text about Adventfjorden, how wide and long is it?","Adventfjorden (Advent Bay) is a 7 km long and 4 km wide bay running south-eastwards from the southern side of Isfjorden, on the west coast of Spitsbergen in Svalbard. The name represents a corruption of Adventure Bay - probably named after the Hull-built whaleship Adventure, which operated in Isfjorden in 1656. The fjord was originally[when?] known as Klass Billen Bay. At the head of Adventfjorden is Adventdalen (Advent Valley).

The former mining-camp of Longyearbyen (now Svalbard's main town) lies on the fjord's southwestern shore, while another former mining-camp, Hiorthhamn, is located on its northeastern shore.",0,1.0,The query asks for specific dimensions (width and length) that are explicitly stated within the provided text about Adventfjorden.
Why do we have car registrations ,Why do we have car registrations,,1,1.0,"This query seeks a factual reason behind a societal practice (car registrations).  It requires understanding legal and logistical aspects of vehicle management, likely requiring external information."
"Tell me whether each of these countries is north or south of the equator: Finland, Canada, South Africa, Iceland, Germany, Uruguay, Zimbabwe ","Tell me whether each of these countries is north or south of the equator: Finland, Canada, South Africa, Iceland, Germany, Uruguay, Zimbabwe",,1,1.0,"This query requires geographical knowledge about the location of each country relative to the equator, which is specific factual information best obtained from a geographical database."
"Who is known as The Invincibles in English football? In football, ""The Invincibles"" is a nickname used to refer to the Preston North End team of the 1888–89 season, managed by William Sudell, and the Arsenal team of the 2003–04 season managed by Arsène Wenger.  Preston North End earned the nickname after completing an entire season undefeated in league and cup competition (27 games), while Arsenal were undefeated in the league (38 games) in a run that stretched to a record 49 games. The actual nickname of the Preston team was the ""Old Invincibles"" but both versions have been in use.",Who is known as The Invincibles in English football?,"In football, ""The Invincibles"" is a nickname used to refer to the Preston North End team of the 1888–89 season, managed by William Sudell, and the Arsenal team of the 2003–04 season managed by Arsène Wenger.  Preston North End earned the nickname after completing an entire season undefeated in league and cup competition (27 games), while Arsenal were undefeated in the league (38 games) in a run that stretched to a record 49 games. The actual nickname of the Preston team was the ""Old Invincibles"" but both versions have been in use.",0,1.0,The query asks for a specific piece of football history that is directly explained in the provided context.  No external retrieval is needed.
Which are the earliest ancestors of Native Americans? ,Which are the earliest ancestors of Native Americans?,,1,1.0,"This query seeks specific information about the origins and ancestry of Native Americans, which requires knowledge of archaeological and genetic research findings, necessitating external data retrieval."
Who finally conquered Constantinople? ,Who finally conquered Constantinople?,,1,1.0,
What are some dishes that avocados can be used in? ,What are some dishes that avocados can be used in?,,1,1.0,
"What are the titans? Attack on Titan (Japanese: 進撃の巨人, Hepburn: Shingeki no Kyojin, lit. 'The Advancing Giant') is a Japanese manga series written and illustrated by Hajime Isayama. It is set in a world where humanity is forced to live in cities surrounded by three enormous walls that protect them from gigantic man-eating humanoids referred to as Titans; the story follows Eren Yeager, who vows to exterminate the Titans after they bring about the destruction of his hometown and the death of his mother. It was serialized in Kodansha's monthly magazine Bessatsu Shōnen Magazine from September 2009 to April 2021, with its chapters collected in 34 tankōbon volumes.",What are the titans?,"Attack on Titan (Japanese: 進撃の巨人, Hepburn: Shingeki no Kyojin, lit. 'The Advancing Giant') is a Japanese manga series written and illustrated by Hajime Isayama. It is set in a world where humanity is forced to live in cities surrounded by three enormous walls that protect them from gigantic man-eating humanoids referred to as Titans; the story follows Eren Yeager, who vows to exterminate the Titans after they bring about the destruction of his hometown and the death of his mother. It was serialized in Kodansha's monthly magazine Bessatsu Shōnen Magazine from September 2009 to April 2021, with its chapters collected in 34 tankōbon volumes.",0,1.0,
How do sailplanes (gliders) stay aloft? ,How do sailplanes (gliders) stay aloft?,,1,1.0,
What are the top five brands of guitars? ,What are the top five brands of guitars?,,1,1.0,
"Which English football club has won the most FA Cup trophies? They hold the highest number of FA Cup trophies, with 14. The club is one of only six clubs to have won the FA Cup twice in succession, in 2002 and 2003, and 2014 and 2015. Arsenal have achieved three League and FA Cup ""Doubles"" (in 1971, 1998 and 2002), a feat only previously achieved by Manchester United (in 1994, 1996 and 1999). They were the first side in English football to complete the FA Cup and League Cup double, in 1993. Arsenal were also the first London club to reach the final of the UEFA Champions League, in 2006, losing the final 2–1 to Barcelona.",Which English football club has won the most FA Cup trophies?,"They hold the highest number of FA Cup trophies, with 14. The club is one of only six clubs to have won the FA Cup twice in succession, in 2002 and 2003, and 2014 and 2015. Arsenal have achieved three League and FA Cup ""Doubles"" (in 1971, 1998 and 2002), a feat only previously achieved by Manchester United (in 1994, 1996 and 1999). They were the first side in English football to complete the FA Cup and League Cup double, in 1993. Arsenal were also the first London club to reach the final of the UEFA Champions League, in 2006, losing the final 2–1 to Barcelona.",0,1.0,
"Provide bulleted list of the years mentioned and what happened in that year in the format {Year}--{What happened} There have been minor changes to the uniform design throughout the years, such as changing the silver stripe patterns on the jersey sleeves, and changing the colors of the jersey numbers. ""TV numbers"", which are auxiliary uniform numbers to help TV broadcasters identify players from the line of scrimmage, were added to the jersey sleeves in 1956. White trim was added to the logo in 1970, with outlines (white on the blue jersey, silver on the white jersey) added to the numbers in 1972; the color arrangement on the numbers on the blue jerseys was reversed in 1982. The silver facemasks became blue in 1984. In 1998, the team wore blue pants with their white jerseys along with grey socks but dropped that combination after the season. In 1999, the ""TV numbers"" on the sleeves were moved to the shoulders.",Provide bulleted list of the years mentioned and what happened in that year in the format {Year}--{What happened},"There have been minor changes to the uniform design throughout the years, such as changing the silver stripe patterns on the jersey sleeves, and changing the colors of the jersey numbers. ""TV numbers"", which are auxiliary uniform numbers to help TV broadcasters identify players from the line of scrimmage, were added to the jersey sleeves in 1956. White trim was added to the logo in 1970, with outlines (white on the blue jersey, silver on the white jersey) added to the numbers in 1972; the color arrangement on the numbers on the blue jerseys was reversed in 1982. The silver facemasks became blue in 1984. In 1998, the team wore blue pants with their white jerseys along with grey socks but dropped that combination after the season. In 1999, the ""TV numbers"" on the sleeves were moved to the shoulders.",1,1.0,
What are six different corporations with orange logos? ,What are six different corporations with orange logos?,,1,1.0,"This query requires identifying specific corporations based on a visual characteristic (logo color), which is a task that necessitates external knowledge about company branding and logos."
"In which cities was the AFL Grand Final played during COVID-19 ? The COVID-19 pandemic affected the scheduling of the match in 2020 and 2021, as outbreaks of the virus in Melbourne during finals precluded unrestricted travel and mass gatherings in Victoria. In 2020, when most of the league's clubs had been relocated to Queensland for the majority of the season, the grand final was played at the Gabba in Brisbane, the first time it had been played outside Victoria. It was also played at night, the first time it was not played in the afternoon time slot. The following season, it was played at Optus Stadium in Perth in a twilight timeslot",In which cities was the AFL Grand Final played during COVID-19 ?,"The COVID-19 pandemic affected the scheduling of the match in 2020 and 2021, as outbreaks of the virus in Melbourne during finals precluded unrestricted travel and mass gatherings in Victoria. In 2020, when most of the league's clubs had been relocated to Queensland for the majority of the season, the grand final was played at the Gabba in Brisbane, the first time it had been played outside Victoria. It was also played at night, the first time it was not played in the afternoon time slot. The following season, it was played at Optus Stadium in Perth in a twilight timeslot",1,1.0,
