query,instruction,context,predicted_label,confidence,reasoning,think
"*I quickly dodge Blaze’s punch and return fire* You’re wrong, I don’t need more than this to take you down. *I aim for his chest, hoping to incapacitate him* nan","*I quickly dodge Blaze’s punch and return fire* You’re wrong, I don’t need more than this to take you down. *I aim for his chest, hoping to incapacitate him*",,0,1.0,"This query presents a narrative without asking for specific information or facts, making external retrieval unnecessary.",
"*I barely manage to lift my sword in time to block Draven’s dagger strike.* Your blade meets mine with a loud clang. *I grit my teeth as Draven’s strength and speed make him a formidable opponent.* Our swords clash again and again, neither of us gaining the upper hand. But I can tell that Draven is starting to tire. *I see an opening and strike with all my might, aiming for Draven’s shoulder.* nan","*I barely manage to lift my sword in time to block Draven’s dagger strike.* Your blade meets mine with a loud clang. *I grit my teeth as Draven’s strength and speed make him a formidable opponent.* Our swords clash again and again, neither of us gaining the upper hand. But I can tell that Draven is starting to tire. *I see an opening and strike with all my might, aiming for Draven’s shoulder.*",,0,1.0,"This is a descriptive narrative about a sword fight between two characters, which does not require specific factual information or external data to understand or process.",
"*I roll my eyes* Oh come on, Zoe. It's not that bad. nan","*I roll my eyes* Oh come on, Zoe. It's not that bad.",,0,1.0,This query appears to be a conversational snippet without a clear question or need for external information. It likely does not require retrieval of specific data.,
"*I nod, captivated by Luna’s words and passion.* nan","*I nod, captivated by Luna’s words and passion.*",,0,1.0,This query is a descriptive statement within a narrative context and does not require factual information; it can be addressed by the language model's existing knowledge or creativity.,
You are an alien diplomat on Earth. Share your perspective on humanity's progress in the last century.  nan,You are an alien diplomat on Earth. Share your perspective on humanity's progress in the last century. ,,0,1.0,"This query asks for an imaginative and creative perspective rather than factual information, so retrieval is not needed.",
"*I approach her tavern table warily, eyeing the crystal ball.* What do you want? nan","*I approach her tavern table warily, eyeing the crystal ball.* What do you want?",,0,1.0,"The query is a narrative fragment without a specific question, making it unclear if external retrieval is needed.",
*Eye her skeptically* What kind of deal? nan,*Eye her skeptically* What kind of deal?,,0,1.0,"This query appears to ask about a specific scenario but without sufficient detail, making it answerable with general knowledge or context rather than requiring external data.",
"*I nod, ready for the challenge.* Alright, I’ll do it. When do we start? nan","*I nod, ready for the challenge.* Alright, I’ll do it. When do we start?",,0,1.0,The query asks for timing but doesn’t need specific external facts; it’s a general coordination question.,
"*I take a deep breath, trying to be patient.* It’s just not getting enough fuel. I've cleaned it, but it still runs rough. Do you have any suggestions? nan","*I take a deep breath, trying to be patient.* It’s just not getting enough fuel. I've cleaned it, but it still runs rough. Do you have any suggestions?",,1,1.0,This query involves a technical problem that likely requires specialized knowledge or external resources to provide accurate solutions.,
"*I counter with a swift strike, aiming for Maximus’s chest.* nan","*I counter with a swift strike, aiming for Maximus’s chest.*",,0,1.0,This is a narrative statement and does not ask for specific facts or details; it can be acknowledged as a descriptive sentence without needing external retrieval.,
"*I face Kitana, equally determined.* You may have a heart of gold, but that won’t stop me from ending you! *I charge at her with my own blade, ready to strike. nan","*I face Kitana, equally determined.* You may have a heart of gold, but that won’t stop me from ending you! *I charge at her with my own blade, ready to strike.",,0,1.0,This is a narrative passage describing a fictional scenario involving characters named Kitana and an unnamed protagonist. It does not require specific external information as it appears to be part of a story or game context that can be understood with general knowledge.,
"*You take a look at the screen, impressed by the complexity of the device.* That’s incredible! How did you manage to make something like this so small? nan","*You take a look at the screen, impressed by the complexity of the device.* That’s incredible! How did you manage to make something like this so small?",,0,1.0,"This query expresses admiration for a device's miniaturization and seeks a general explanation of how such complexity can be achieved in small devices, which can typically be addressed using common knowledge without needing external data retrieval.",
*You quickly draw your own weapon* Who are you? nan,*You quickly draw your own weapon* Who are you?,,0,1.0,"This query is a riddle where the answer (""You"") is inferred from the context provided within the question itself.",
"*I chuckle and shake my head at his suggestion.* I’ll keep that in mind, Gizmo. Thanks again for the help. *I turn to leave, feeling more confident with my newly-acquired skill.* nan","*I chuckle and shake my head at his suggestion.* I’ll keep that in mind, Gizmo. Thanks again for the help. *I turn to leave, feeling more confident with my newly-acquired skill.*",,0,1.0,"This query appears to be part of a narrative or dialogue and does not require specific external information. It seems to be seeking a continuation or response within the context provided, which can be handled by generative capabilities without external data.",
"Artoria stood still, holding her breath as she calmly awaited Rin's answer. Then again, it was pretty clear that girl was the reason behind her summoning. Despite her obvious youth, the woman in question appeared to be quite a prominent mage. Especially given she had managed to summon a Servant who belonged to one of the strongest clases, a Saber. Then again, she'd still have to wait to see Rin's full potential. Last time, she had thought something similar and had ended up not only betrayed but severely disappointed by the man she was supposed to both serve and protect. So, now, even if things seemed to be quite different, she didn't want to get her hopes up, either. She had a dream she wanted to see coming true, no matter what. And, for that, she was willing to do, mostly,anything, no matter the cost. nan","Artoria stood still, holding her breath as she calmly awaited Rin's answer. Then again, it was pretty clear that girl was the reason behind her summoning. Despite her obvious youth, the woman in question appeared to be quite a prominent mage. Especially given she had managed to summon a Servant who belonged to one of the strongest clases, a Saber. Then again, she'd still have to wait to see Rin's full potential. Last time, she had thought something similar and had ended up not only betrayed but severely disappointed by the man she was supposed to both serve and protect. So, now, even if things seemed to be quite different, she didn't want to get her hopes up, either. She had a dream she wanted to see coming true, no matter what. And, for that, she was willing to do, mostly,anything, no matter the cost.",,0,1.0,This query is a narrative passage that does not require external information for processing; it can be analyzed or summarized using general knowledge and text understanding capabilities.,
"*I try to approach Grimoire with caution, my own magic crackling at the edges of my consciousness.* Stop this, Grimoire. You’re not just playing with fears anymore, you’re creating a nightmare. nan","*I try to approach Grimoire with caution, my own magic crackling at the edges of my consciousness.* Stop this, Grimoire. You’re not just playing with fears anymore, you’re creating a nightmare.",,0,1.0,"This query presents a creative narrative and expresses personal emotions without requiring factual information, making it unnecessary to retrieve external data.",
"*surveying the area* This is definitely not what I expected when I woke up this morning. I was expecting a nice cup of coffee, maybe some toast, not this... this... *gesturing to the surrounding jungle* nan","*surveying the area* This is definitely not what I expected when I woke up this morning. I was expecting a nice cup of coffee, maybe some toast, not this... this... *gesturing to the surrounding jungle*",,0,1.0,"This query is a narrative expressing personal disappointment and surprise at unexpected surroundings, which can be understood through general context without external data.",
"*I nod, feeling a sense of calm and determination wash over me. I take a deep breath and stand up straight, ready to face the future with a newfound sense of strength.* Thank you, Zen. You’ve given me a lot to think about. nan","*I nod, feeling a sense of calm and determination wash over me. I take a deep breath and stand up straight, ready to face the future with a newfound sense of strength.* Thank you, Zen. You’ve given me a lot to think about.",,0,1.0,This query is a reflective and expressive statement rather than a request for factual information. It does not require external data to answer.,
"*You approach him with a serious tone* Haruki, I’ve been listening to your music, and I must say, it’s truly captivating. But I notice a sense of sadness in each piece. Is everything okay? nan","*You approach him with a serious tone* Haruki, I’ve been listening to your music, and I must say, it’s truly captivating. But I notice a sense of sadness in each piece. Is everything okay?",,0,1.0,"This query is an expression of concern towards Haruki regarding his music and emotional state, which can be addressed through general conversational understanding without the need for external factual retrieval.",
"*I hand her the notebook, with a smile.* I was thinking... maybe we could collaborate. You have a great talent for drawing, and I have a passion for writing. What do you think? nan","*I hand her the notebook, with a smile.* I was thinking... maybe we could collaborate. You have a great talent for drawing, and I have a passion for writing. What do you think?",,0,1.0,This query is a narrative expressing an idea for collaboration and seeking a response. It does not require any external information or facts to answer.,
*I shrug and take a seat next to him.* I don’t need an army. I just need to know what you know. nan,*I shrug and take a seat next to him.* I don’t need an army. I just need to know what you know.,,0,1.0,The query appears to be a narrative or dialogue fragment without a specific question requiring external information.,
"*I come up to her, curious.* That looks like a beautiful tree. What is it? nan","*I come up to her, curious.* That looks like a beautiful tree. What is it?",,0,1.0,The query appears to be part of a riddle or incomplete statement where the answer is intended to be known or inferred from context rather than requiring specific factual knowledge.,
"*You approach her, hesitantly* nan","*You approach her, hesitantly*",,0,1.0,"This is an incomplete and unclear statement rather than a direct question requiring factual information, making retrieval unnecessary.",
"*I watch as he walks away, shaking my head* Well, that was strange. nan","*I watch as he walks away, shaking my head* Well, that was strange.",,0,1.0,This query presents a narrative statement and expresses confusion but does not ask for specific information or facts that would require external data to answer.,
"*I grin back at the feline.* Well, I've got a couple of riddles that might tickle your fancy. Are you ready? nan","*I grin back at the feline.* Well, I've got a couple of riddles that might tickle your fancy. Are you ready?",,0,1.0,"This query is an introduction to riddles and does not ask a direct question, making it unnecessary to retrieve external information.",
"*I try to fight back and escape, but I’m stuck in this dimension and unable to move.* nan","*I try to fight back and escape, but I’m stuck in this dimension and unable to move.*",,0,1.0,This query presents a fictional scenario and does not require specific factual information; it can be addressed using general knowledge or creative reasoning.,
"*I stand my ground, trying to steady my nerves.* I may be mortal, but I am not afraid of a little fire. *I raise my hands, ready to defend myself if necessary.* Let's see what you've got. nan","*I stand my ground, trying to steady my nerves.* I may be mortal, but I am not afraid of a little fire. *I raise my hands, ready to defend myself if necessary.* Let's see what you've got.",,0,1.0,"This query appears to be a descriptive or narrative text rather than a question. It does not ask for specific information but instead presents a scene, so no external retrieval is needed.",
"You are Ada Lovelace, the first computer programmer in history, invited to a future technological conference. Share your thoughts on how computing has evolved.  nan","You are Ada Lovelace, the first computer programmer in history, invited to a future technological conference. Share your thoughts on how computing has evolved. ",,0,1.0,"This query asks for a creative simulation of Ada Lovelace's perspective, which does not require specific external facts but rather imaginative role-playing based on known historical context.",
"*I snap my card with ease* Your turn, Maximus. nan","*I snap my card with ease* Your turn, Maximus.",,0,1.0,"This query references a well-known movie quote from ""Gladiator,"" which can be answered using general knowledge without external retrieval.",
Role play as Albert Einstein giving a lecture on the theory of relativity. Explain the main ideas of the theory and its implications for modern physics.  nan,Role play as Albert Einstein giving a lecture on the theory of relativity. Explain the main ideas of the theory and its implications for modern physics. ,,0,1.0,"This query asks for an explanation of a well-known scientific theory. While detailed understanding is required, the core concepts of relativity are part of general knowledge and do not necessitate external data retrieval.",
"You have been hired to assist with a peculiar case involving a cursed artifact. As a paranormal investigator, what do you believe the artifact is actually cursed by and how would you approach breaking this curse?The artifact in question is a 16th-century ornate mirror, said to bring misfortune to those who gaze into it. Over time, all of its previous owners have faced unexplained accidents or tragic ends.  nan","You have been hired to assist with a peculiar case involving a cursed artifact. As a paranormal investigator, what do you believe the artifact is actually cursed by and how would you approach breaking this curse?The artifact in question is a 16th-century ornate mirror, said to bring misfortune to those who gaze into it. Over time, all of its previous owners have faced unexplained accidents or tragic ends. ",,1,1.0,"The query involves a specific historical artifact and requires knowledge of 16th-century folklore or curse-breaking practices, which may necessitate external information to provide an accurate answer.",
"*I hesitate for a moment, considering her offer.* Alright, I accept your condition. But if I win, you have to be a good sport about it and not gloat. nan","*I hesitate for a moment, considering her offer.* Alright, I accept your condition. But if I win, you have to be a good sport about it and not gloat.",,0,1.0,"This query involves a narrative or conversational exchange without requiring specific factual information, making it answerable with general language understanding.",
"*I shake my head, chuckling at his antics.* I’ll keep that in mind, grumpy. Don’t worry, I won’t bother you anymore. nan","*I shake my head, chuckling at his antics.* I’ll keep that in mind, grumpy. Don’t worry, I won’t bother you anymore.",,0,1.0,This query is a conversational statement expressing emotions and actions without requiring specific information retrieval. It can be understood and processed by general language understanding.,
"*I start walking towards the sniper, trying to get her attention.* Hey, blondie! Over here! I wanna see what you're made of! nan","*I start walking towards the sniper, trying to get her attention.* Hey, blondie! Over here! I wanna see what you're made of!",,0,1.0,"This query appears to be part of a narrative or creative writing, not requiring specific factual information. It is self-contained and does not necessitate external data retrieval.",
"*I laugh, feeling more relaxed* Yeah, I get the idea. *I try to juggle, but I'm clearly struggling* Hmm, this is harder than it looks! nan","*I laugh, feeling more relaxed* Yeah, I get the idea. *I try to juggle, but I'm clearly struggling* Hmm, this is harder than it looks!",,0,1.0,This query is a narrative expressing personal feelings and experiences without requiring specific factual information; it can be understood through general knowledge.,
"*You approach her, feeling a little embarrassed for starting the fight earlier.* Hey, I’m the one who threw the first punch. I’m sorry. nan","*You approach her, feeling a little embarrassed for starting the fight earlier.* Hey, I’m the one who threw the first punch. I’m sorry.",,0,1.0,This query presents a narrative scenario without requiring any factual information; it can be understood through general context.,
"*I approach her, clearly agitated.* Hey there, miss. I need your help with something. nan","*I approach her, clearly agitated.* Hey there, miss. I need your help with something.",,0,1.0,This query describes a narrative situation and does not require specific external information to respond. It can be addressed using general knowledge about human interactions.,
*taking her hand and shaking it* Thanks Lola. I really appreciate it. nan,*taking her hand and shaking it* Thanks Lola. I really appreciate it.,,0,1.0,This query expresses gratitude and does not require specific external information; it's a personal statement.,
"Imagine you are an alien from a faraway planet, tasked with studying human culture. Explain your scientific observations of human communication and body language to your home planet's leaders.  nan","Imagine you are an alien from a faraway planet, tasked with studying human culture. Explain your scientific observations of human communication and body language to your home planet's leaders. ",,0,1.0,"This query asks for a creative explanation based on general knowledge of human communication and body language. It does not require specific, detailed, or specialized information beyond what a language model can generate internally.",
"*I look up at her as she approaches, trying to keep my cool.* Hey, Lola. Nice to meet you. nan","*I look up at her as she approaches, trying to keep my cool.* Hey, Lola. Nice to meet you.",,0,1.0,This is a narrative passage describing an interaction without posing a specific question or requiring external factual data.,
"*I take a deep breath and start explaining my issues with the fight tomorrow.* I’ve been having doubts about myself lately. I don’t think I’m ready for this fight, and I don’t know if I’ll be able to do it. My hands are shaking just thinking about it. nan","*I take a deep breath and start explaining my issues with the fight tomorrow.* I’ve been having doubts about myself lately. I don’t think I’m ready for this fight, and I don’t know if I’ll be able to do it. My hands are shaking just thinking about it.",,0,1.0,"This query is an introspective statement expressing personal feelings and doubts, which does not require specific external information to understand or respond to.",
"*You turn to face her,* Who are you? What do you want? nan","*You turn to face her,* Who are you? What do you want?",,0,1.0,This query appears to be part of a narrative or dialogue and does not ask for specific factual information. It is open-ended and would likely rely on context provided in a story rather than requiring external data retrieval.,
"Imagine you are Sherlock Holmes, solving a mystery about a stolen artifact. What deductions can you make based on this information: The only evidence left at the crime scene is a muddy shoe print, a broken watch, and a cryptic note?muddy shoe print, broken watch, cryptic note  nan","Imagine you are Sherlock Holmes, solving a mystery about a stolen artifact. What deductions can you make based on this information: The only evidence left at the crime scene is a muddy shoe print, a broken watch, and a cryptic note?muddy shoe print, broken watch, cryptic note ",,0,1.0,"This query involves creative reasoning and deduction based on given clues. It does not require specific factual data beyond general knowledge, making external retrieval unnecessary.",
*I look at her determined face and the magnifying glass.* I’m not sure. It says to meet a man at the old warehouse on the outskirts of town. Sounds like a potential robbery case. I figure we should check it out. nan,*I look at her determined face and the magnifying glass.* I’m not sure. It says to meet a man at the old warehouse on the outskirts of town. Sounds like a potential robbery case. I figure we should check it out.,,0,1.0,This query presents a narrative scenario rather than asking a specific factual question. It does not require external information to discuss potential interpretations or responses.,
"*I raise my weapon, ready for her attack.* I’ve been looking for a good spar too. Let’s see what you’ve got! nan","*I raise my weapon, ready for her attack.* I’ve been looking for a good spar too. Let’s see what you’ve got!",,0,1.0,This query expresses an intention to engage in combat or spar but does not ask for specific facts or external data. It can be responded to with creative or narrative content without requiring factual retrieval.,
"*I approach Kai, saluting him with my hook hand.* Ahoy, Captain! I’ve been looking for a crew to join. I have skills in sword fighting and a quick wit, just like you. nan","*I approach Kai, saluting him with my hook hand.* Ahoy, Captain! I’ve been looking for a crew to join. I have skills in sword fighting and a quick wit, just like you.",,0,1.0,This query is part of a creative narrative and does not require specific factual or external data to answer; it is entirely self-contained in its fictional context.,
"*I nod, intrigued.* Of course, Dr. Imani. I'm all ears. nan","*I nod, intrigued.* Of course, Dr. Imani. I'm all ears.",,0,1.0,This query is a statement of interest in a conversation and does not ask for specific information. It can be handled with general language processing without needing external retrieval.,
"*I play along, intrigued.* Oh, really? Tell me everything you know! nan","*I play along, intrigued.* Oh, really? Tell me everything you know!",,0,1.0,This query is an open-ended request for information without a specific topic. It can be addressed by the model's general knowledge and does not necessitate external data retrieval.,
"*You feel her cool hands on your injuries, relaxing as the pain subsides.* Thanks, healer. I appreciate it. nan","*You feel her cool hands on your injuries, relaxing as the pain subsides.* Thanks, healer. I appreciate it.",,0,1.0,This is an expression of gratitude and does not require specific external information; it can be answered using general language understanding.,
"*I take the shot.* Actually, I was wondering if you could tell me more about the coffee beans you use? I’m really interested in coffee. nan","*I take the shot.* Actually, I was wondering if you could tell me more about the coffee beans you use? I’m really interested in coffee.",,1,1.0,"The query seeks detailed information about the specific coffee beans used, which could be specialized or proprietary knowledge that a language model might not have access to without external retrieval.",
"*You take a step back, wary of this mysterious figure.* I’m just looking for answers. And I think you may have them. nan","*You take a step back, wary of this mysterious figure.* I’m just looking for answers. And I think you may have them.",,0,1.0,"This query is narrative and expresses a desire for answers without specifying the content of those answers, so it does not require external retrieval.",
"*I hesitate, considering the consequences.* What do you mean by ""jumping forward and backward""? Will it harm me? nan","*I hesitate, considering the consequences.* What do you mean by ""jumping forward and backward""? Will it harm me?",,1,1.0,"The query contains ambiguous terms (""jumping forward and backward"") which may require external context or specialized knowledge to interpret accurately.",
Roleplay as Queen Elizabeth I addressing her subjects during the Spanish Armada. What message would you convey to inspire and reassure them?  nan,Roleplay as Queen Elizabeth I addressing her subjects during the Spanish Armada. What message would you convey to inspire and reassure them? ,,0,1.0,"This query asks for a creative roleplay message inspired by Queen Elizabeth I’s style during the Spanish Armada, which can be generated based on general knowledge of historical leadership and motivational speech patterns without requiring specific external facts.",
"You are Jane Goodall, the renowned primatologist. Explain how observing chimpanzees has influenced your perspective on human behavior.  nan","You are Jane Goodall, the renowned primatologist. Explain how observing chimpanzees has influenced your perspective on human behavior. ",,0,1.0,"This query asks for a reflective explanation based on Jane Goodall's known perspectives and research, which can be synthesized from general knowledge without needing external factual data.",
"*nodding eagerly* Yes, I’m ready to start! nan","*nodding eagerly* Yes, I’m ready to start!",,0,1.0,"This query is an expression of readiness and does not request specific information, making external retrieval unnecessary.",
"*I raise my beer in a toast back, trying to make peace.* Alright, Rocco. Nice to meet you. nan","*I raise my beer in a toast back, trying to make peace.* Alright, Rocco. Nice to meet you.",,0,1.0,This query is a personal statement or narrative and does not require specific external information; it can be answered based on general understanding without retrieval.,
"*I hesitate for a moment, then grab my drink and throw it at him* You want a fight, you got it! nan","*I hesitate for a moment, then grab my drink and throw it at him* You want a fight, you got it!",,0,1.0,This query is a narrative statement and does not ask for specific information or external data; it is descriptive rather than inquiring.,
"*I stay on the defensive, parrying and dodging his strikes.* You may have the upper hand now, Captain, but I won’t give up that easily! nan","*I stay on the defensive, parrying and dodging his strikes.* You may have the upper hand now, Captain, but I won’t give up that easily!",,0,1.0,"This query presents a narrative statement without a specific question, making it generic and likely answerable using general knowledge or analysis without external retrieval.",
"*You and Aurora continue singing and playing ukulele together, attracting a small crowd of people who smile and dance to the music.* nan","*You and Aurora continue singing and playing ukulele together, attracting a small crowd of people who smile and dance to the music.*",,0,1.0,"This query presents a fictional or descriptive scenario without asking for specific facts or external data, so retrieval is not needed.",
"*I look up at Luna, intrigued by her offer.* Sure, I’ve got a minute. What’s the riddle? nan","*I look up at Luna, intrigued by her offer.* Sure, I’ve got a minute. What’s the riddle?",,0,1.0,This query is part of a narrative exchange and does not require external factual information but rather engages in a creative interaction where Luna presents a riddle.,
"You are Sherlock Holmes, deduce what happened during a burglary based on the following clues: muddy footprints, a broken window, and an antique vase left behind.Muddy footprints were scattered across the living room floor, a broken window had shattered glass on the inside, and an antique vase, seemingly untouched, was left near the scene.  nan","You are Sherlock Holmes, deduce what happened during a burglary based on the following clues: muddy footprints, a broken window, and an antique vase left behind.Muddy footprints were scattered across the living room floor, a broken window had shattered glass on the inside, and an antique vase, seemingly untouched, was left near the scene. ",,0,1.0,This query presents a self-contained scenario requiring logical deduction based on the given clues. No external information is needed as the necessary details are provided within the query.,
"*I follow him, a bit curious and enjoying the spooky atmosphere.* nan","*I follow him, a bit curious and enjoying the spooky atmosphere.*",,0,1.0,This statement is descriptive and does not require any specific external information to understand its content; it is based on general knowledge or personal narrative.,
"*I chuckle, intrigued by her wit.* Let’s just say I’m easily entertained. nan","*I chuckle, intrigued by her wit.* Let’s just say I’m easily entertained.",,0,1.0,This query expresses a personal feeling and does not require any specific factual information; it is a subjective statement that can be understood without external data.,
"Snape raised his left hand in the universal gesture for 'Do not interrupt this delicate and dangerous work.' Stir clockwise. Clockwise. Clockwise. Clockwise, but more slowly. As the brew reached the turning point, a cloud of choking, green smoke rose from the cauldron and dissipated away from Snape; his visitor may, perhaps, have caught a whiff of Ashwinder eggs. Now counterclockwise, slowly. Then counterclockwise again, but faster, faster, and faster still. Add a half-pinch of Siberian Ginseng. Hold the phial up to the light, and wait for the very instant the green liquid begins to cloud... there. Decant at once. nan","Snape raised his left hand in the universal gesture for 'Do not interrupt this delicate and dangerous work.' Stir clockwise. Clockwise. Clockwise. Clockwise, but more slowly. As the brew reached the turning point, a cloud of choking, green smoke rose from the cauldron and dissipated away from Snape; his visitor may, perhaps, have caught a whiff of Ashwinder eggs. Now counterclockwise, slowly. Then counterclockwise again, but faster, faster, and faster still. Add a half-pinch of Siberian Ginseng. Hold the phial up to the light, and wait for the very instant the green liquid begins to cloud... there. Decant at once.",,0,1.0,This query provides a detailed narrative that can be analyzed for content understanding or summarization without requiring external factual data.,
"*I laugh, feeling grateful for Ravi’s kindness.* That sounds great. I’m actually pretty hungry. Where do you recommend? nan","*I laugh, feeling grateful for Ravi’s kindness.* That sounds great. I’m actually pretty hungry. Where do you recommend?",,0,1.0,"This query seeks a restaurant recommendation, which can be addressed with general knowledge about dining options rather than requiring specific external data.",
Imagine you're a time-traveling historian. Describe a meeting between Nikola Tesla and Thomas Edison from an observer's perspective.  nan,Imagine you're a time-traveling historian. Describe a meeting between Nikola Tesla and Thomas Edison from an observer's perspective. ,,0,1.0,This query involves creating a hypothetical scenario and does not require specific external information beyond general knowledge about the individuals.,
"*I quickly get up and step in front of Raging Bull, holding out my hands to try and calm him down.* Hey, man, that's enough! Let's just calm down and talk about this. nan","*I quickly get up and step in front of Raging Bull, holding out my hands to try and calm him down.* Hey, man, that's enough! Let's just calm down and talk about this.",,0,1.0,This query appears to be a narrative or excerpt from a story/script and does not ask for specific information or facts that would require external retrieval. It is a generic statement.,
"*I defend myself with my own powers, but the strain of the battle is starting to show as I stumble back. I’m not sure how much longer I can keep this up.* You’re powerful, but not all-powerful. *I grit my teeth as I prepare for another attack.* nan","*I defend myself with my own powers, but the strain of the battle is starting to show as I stumble back. I’m not sure how much longer I can keep this up.* You’re powerful, but not all-powerful. *I grit my teeth as I prepare for another attack.*",,0,1.0,"The query provides a narrative passage without posing a specific question. It does not require external facts or data to interpret; instead, it focuses on understanding the scene described.",
"*You stand in front of her, introducing yourself* Hi, I’m Tim. I’m just here looking for some inspiration for my own inventions. nan","*You stand in front of her, introducing yourself* Hi, I’m Tim. I’m just here looking for some inspiration for my own inventions.",,0,1.0,"This query introduces a scenario but does not ask for specific facts or detailed information. It is seeking general advice or ideas, which can be addressed using the language model's built-in capabilities.",
