query,instruction,predicted_label,confidence,reasoning,think
Who invented the radio?,Who invented the radio?,1,1.0,"This query seeks a specific historical invention credit that requires detailed factual knowledge about several contributors, necessitating external retrieval for accuracy.",
When was Rhual constructed?,When was Rhual constructed?,1,1.0,"The query asks for the construction date of ""Rhual,"" which is not a commonly recognized term. To provide an accurate answer, specific historical or factual data would be required, necessitating external retrieval.",
How many awards did the film The Walrus and the Whistleblower win per this entry of information?,How many awards did the film The Walrus and the Whistleblower win per this entry of information?,1,1.0,"The query asks for specific information about awards won by a particular film, which is best answered by referring to external data sources.",
When was The White Mandigos band formed?,When was The White Mandigos band formed?,1,1.0,"This query seeks a specific historical fact about a musical group's formation date, which typically necessitates external data retrieval.",
Who was Luis Gonzalez de Ubieta,Who was Luis Gonzalez de Ubieta,1,1.0,"The query asks about a person whose identity is not widely known or recognized, requiring specific factual information that may need to be retrieved externally.",
List 10 highest-grossing actors in the world.,List 10 highest-grossing actors in the world.,1,1.0,"This query requests specific, detailed data about box office earnings, which is likely not available in the model's general knowledge and would require external information to provide an accurate list.",
Who won the 149th Boat Race?,Who won the 149th Boat Race?,1,1.0,"This query seeks a precise historical fact about a specific edition of the Boat Race, necessitating external retrieval to confirm the accurate winner.",
What is the name of the major school of praxiology not developed by Ludwig von Mises,What is the name of the major school of praxiology not developed by Ludwig von Mises,1,1.0,"This query seeks a specific and specialized piece of knowledge regarding schools of praxiology, which is unlikely to be answerable without external factual data.",
How many total seats are there?,How many total seats are there?,1,1.0,"This query asks for a specific number of seats, which depends on the context (e.g., venue, event). Without additional details, it requires external data to provide an accurate answer.",
Based on the passage provided in which years the movie named 'A star is Born' was released?,Based on the passage provided in which years the movie named 'A star is Born' was released?,1,1.0,"The query requests the release years of a specific movie, requiring precise factual information that necessitates external retrieval.",
In which part of Germany is the town Kirchenlamitz located?,In which part of Germany is the town Kirchenlamitz located?,1,1.0,"This query requires identifying the specific region where Kirchenlamitz is located, which may not be general knowledge and necessitates external data for accuracy.",
what was population of India during Mauryan Era?,what was population of India during Mauryan Era?,1,1.0,This query seeks a detailed and specific historical statistic (population during the Mauryan Era) that is unlikely to be known without external factual sources.,
Who played Harry Bosch in the eponymous TV series?,Who played Harry Bosch in the eponymous TV series?,1,1.0,"This question seeks specific information about an actor's portrayal of a character in a TV show, requiring retrieval from external data.",
Which country has topped the swimming medals list in the summer olympics?,Which country has topped the swimming medals list in the summer olympics?,1,1.0,"This query asks for a specific historical fact about medal counts, which requires detailed data and likely necessitates external retrieval to accurately answer.",
Who did John Evelyn support during the English Civil War?,Who did John Evelyn support during the English Civil War?,1,1.0,The query asks about a historical figure's stance during a significant event. This requires accessing historical records or specialized knowledge beyond general information.,
Which positions did Kamerion Wimbley play in High school?,Which positions did Kamerion Wimbley play in High school?,1,1.0,"This query asks for specific information about Kamerion Wimbley's high school positions, which would typically require accessing external sources like sports records or news articles.",
Tell me about the new premier of New South Wales,Tell me about the new premier of New South Wales,1,1.0,"The query asks for current information about a political position, which may require up-to-date data beyond general knowledge.",
How long after the release of the album “Abbey Road” did The Beatles break up?,How long after the release of the album “Abbey Road” did The Beatles break up?,1,1.0,"This query asks for the time between two specific historical events (the release of Abbey Road and The Beatles' breakup), requiring exact dates that necessitate external factual data.",
In what year did Apple debut the 'Mac Operating System'?,In what year did Apple debut the 'Mac Operating System'?,1,1.0,"This query asks for the exact year Apple introduced their Mac Operating System, which is a specific historical fact that may require external verification.",
How popular is K-pop around the world?,How popular is K-pop around the world?,1,1.0,"This query asks for specific, detailed information about K-pop's global popularity, which necessitates factual data from external sources to provide an accurate answer.",
What was the first name of Thomas Attewell's brother and cousin?,What was the first name of Thomas Attewell's brother and cousin?,1,1.0,"This query asks for specific names related to Thomas Attewell, which requires detailed and possibly obscure information that is unlikely to be known without external retrieval.",
"Based on this article, considerations of what time zone is used for determining what land is in the dead man zone?","Based on this article, considerations of what time zone is used for determining what land is in the dead man zone?",1,1.0,"The query asks about a specific concept related to time zones and geography, likely requiring detailed or external information from the referenced article.",
How old is Tamil language?,How old is Tamil language?,1,1.0,"This query seeks a specific historical fact about the origin of the Tamil language, which is unlikely to be answered without external retrieval of scholarly or historical sources.",
How many years passed from Ghana's decline to the Mali Empire consolidating western Sudan?,How many years passed from Ghana's decline to the Mali Empire consolidating western Sudan?,1,1.0,"This query asks for a specific historical timeline between two significant events, which requires precise factual data about the dates of Ghana's decline and Mali's consolidation.",
Have you heard of Doleshwor Mahadeva temple?,Have you heard of Doleshwor Mahadeva temple?,1,1.0,"This query asks about the existence of a specific historical and cultural site, requiring external information to confirm its presence and significance.",
what are the 5 skandhas?,what are the 5 skandhas?,1,1.0,"The query asks for a detailed explanation of a specific Buddhist concept (the five Skandhas), which requires specialized knowledge beyond general awareness.",
Which team has drafted Nkem-Nkechukwu Ojougboh?,Which team has drafted Nkem-Nkechukwu Ojougboh?,1,1.0,"This query requires knowing the specific team that drafted Nkem-Nkechukwu Ojougboh, which is a precise fact that typically necessitates external data retrieval.",
What is the oldest known civilization?,What is the oldest known civilization?,1,1.0,"This query seeks specific historical information about the earliest civilization, which may require checking current archaeological findings beyond general knowledge.",
Malibamat'so River,Malibamat'so River,1,1.0,"This query asks about a specific river that may not be widely recognized or included in general knowledge, requiring external data for accurate information.",
What is the top floor of the King's Building based on this article? What floor is found below that?,What is the top floor of the King's Building based on this article? What floor is found below that?,1,1.0,"This query requires information from a specific article, making external retrieval necessary.",
Which is the most sparsely populates nation?,Which is the most sparsely populates nation?,1,1.0,"This query seeks a specific factual answer about population density, which may require external data to identify the most accurate nation.",
Which player scored the Premier League winning goal for Manchester City vs. QPR in 2012?,Which player scored the Premier League winning goal for Manchester City vs. QPR in 2012?,1,1.0,This query seeks a detailed fact about a specific football match and requires accurate external data to identify the goalscorer.,
What was Tyson Fury's fight record as an amateur?,What was Tyson Fury's fight record as an amateur?,1,1.0,"This query asks for a specific statistic (amateur fight record) about Tyson Fury, which is detailed information that likely requires external data to answer accurately.",
In which country is Jean Marie Ralph Féthière a politician?,In which country is Jean Marie Ralph Féthière a politician?,1,1.0,"The query asks for specific information about a person who may not be widely recognized, requiring external data to confirm his political affiliation and country.",
Who are the Wagner group,Who are the Wagner group,1,1.0,"The query asks for information about a specific group called ""Wagner Group,"" which is likely a particular organization or entity. This requires external retrieval to provide accurate and detailed information.",
When and where was Lyubomir Nikolov Vladikin born?,When and where was Lyubomir Nikolov Vladikin born?,1,1.0,"This query asks for detailed personal information about an individual, which is likely unavailable in general knowledge and requires external data retrieval.",
"Who founded the city of Price, Quebec?","Who founded the city of Price, Quebec?",1,1.0,"This query asks for specific historical information about the founding of a city, which requires factual data that is unlikely to be known without external retrieval.",
What is tollywood?,What is tollywood?,1,1.0,"Tollywood refers to the Telugu-based film industry in India, requiring specific knowledge about regional cinema.",
In what year was the evidence of an exoplanet first confirmed?,In what year was the evidence of an exoplanet first confirmed?,1,1.0,"This query seeks a specific historical milestone in astronomy, requiring factual information about the first confirmed exoplanet discovery.",
What are the rivers in Rajkot area?,What are the rivers in Rajkot area?,1,1.0,"This query requires identifying specific rivers in a particular location (Rajkot), which is factual and may need external geographic or local area data.",
What is the population in Suwon?,What is the population in Suwon?,1,1.0,"This query requests a specific statistical fact (population data) about a city, requiring up-to-date information that necessitates external retrieval.",
How many judges did President Trump apoint?,How many judges did President Trump apoint?,1,1.0,"The query seeks a factual number of judicial appointments made by President Trump, which necessitates accessing external records or reliable sources for accurate information.",
Which chapel on Rutger's campus was built 7 years after the New Jersey College for Women?,Which chapel on Rutger's campus was built 7 years after the New Jersey College for Women?,1,1.0,"The query requires identifying a specific chapel based on its construction date relative to another historical institution, necessitating access to detailed factual information.",
"When and where was the first major agitation led by Gandhi, tell me who this agitation was against,  which crop led to this agitation and why this agitation happened.","When and where was the first major agitation led by Gandhi, tell me who this agitation was against,  which crop led to this agitation and why this agitation happened.",1,1.0,"This query seeks specific historical information about Gandhi's first major agitation, including details like timing, location, targets, and causes, which are best answered with external data.",
Why is JDAM so cost effective?,Why is JDAM so cost effective?,1,1.0,"The query requires specific technical and cost-related information about JDAM systems, which necessitates external factual data for an accurate response.",
"When he lived in the mountains of Alaska, was Richard Proenneke in full autonomy?","When he lived in the mountains of Alaska, was Richard Proenneke in full autonomy?",1,1.0,"This query asks for specific information about Richard Proenneke's lifestyle in Alaska, particularly regarding his self-sufficiency. To answer accurately, external sources detailing his living conditions and level of autonomy would be necessary.",
What are the two different continental tournaments that Roger Lemerre won ?,What are the two different continental tournaments that Roger Lemerre won ?,1,1.0,"This query asks for specific historical achievements (tournaments won) by Roger Lemerre across different continents, requiring factual retrieval beyond common knowledge.",
How old was Octavia Butler when she died?,How old was Octavia Butler when she died?,1,1.0,"This query asks for specific factual information about Octavia Butler's age at death, which requires accessing external data to confirm her birth and death dates.",
How many of Farington's buildings are designated Grade 3?,How many of Farington's buildings are designated Grade 3?,1,1.0,"This query asks for a specific and detailed fact about Farington's buildings and their designations, which requires external data to answer accurately.",
What type of physicist is Arup Kumar Raychaudhuri?,What type of physicist is Arup Kumar Raychaudhuri?,1,1.0,"This query requires knowing the specific field or type of physics that Arup Kumar Raychaudhuri specializes in, which is a detailed factual question needing external information.",
How many full siblings did Fatemeh Pahlavi have?,How many full siblings did Fatemeh Pahlavi have?,1,1.0,"This query asks for a specific factual piece of information about Fatemeh Pahlavi's family, which is best answered with external historical data.",
Is the recording of a person's last words reliable?,Is the recording of a person's last words reliable?,1,1.0,Evaluating the reliability of such recordings may involve specific technical or contextual knowledge that necessitates external information for an accurate assessment.,
What is Original Joe's restaurant and where are they located?,What is Original Joe's restaurant and where are they located?,1,1.0,"The query requests both a definition of Original Joe's restaurant and its locations, which may require up-to-date information not typically available in general knowledge.",
During which year Emperor Shapur II learned to play polo?,During which year Emperor Shapur II learned to play polo?,1,1.0,"This query asks for a specific historical event related to Emperor Shapur II, requiring detailed and precise external information that is unlikely to be known by the model.",
What style of music is played in the World of Warcraft game?,What style of music is played in the World of Warcraft game?,1,1.0,"The query asks for specific information about the musical style in a particular video game, which requires detailed knowledge that may not be commonly known without external data.",
When was the the docu-series 'The Circus' created?,When was the the docu-series 'The Circus' created?,1,1.0,"This query asks for the specific release date of a docu-series, which requires factual information that isn't generally known without external data.",
Where is Koenigsfeld,Where is Koenigsfeld,1,1.0,"The query asks for the location of Koenigsfeld, which is a specific place that requires external geographical data to provide an accurate answer.",
Is there a New York Hotel in Salt Lake City,Is there a New York Hotel in Salt Lake City,1,1.0,"This query requires specific information about whether such a hotel exists and its details, necessitating external data for an accurate response.",
"Based on the information provided, what was the controversy surrounding the 2021 Abu Dhabi Grand Prix?","Based on the information provided, what was the controversy surrounding the 2021 Abu Dhabi Grand Prix?",1,1.0,"This query asks about a specific historical event with known controversies, requiring detailed factual knowledge about the 2021 Abu Dhabi Grand Prix incident.",
What breed is most likely to win a dog show,What breed is most likely to win a dog show,1,1.0,"This query requires knowing recent trends in dog shows, which is specialized information that necessitates external data for an accurate answer.",
Which programming languages did Netscape try to add to their browser in order to make it more dynamic?,Which programming languages did Netscape try to add to their browser in order to make it more dynamic?,1,1.0,"The query asks for specific historical information about programming languages Netscape added to their browser, which requires factual data that may not be fully captured in general knowledge.",
"When was ""I'm Just a Singer (In a Rock and Roll Band)"" released?","When was ""I'm Just a Singer (In a Rock and Roll Band)"" released?",1,1.0,"This query requests the release date of a specific song, requiring access to external databases or records to provide an accurate answer.",
How many years has it been since the city of Calcutta was officially renamed Kolkata?,How many years has it been since the city of Calcutta was officially renamed Kolkata?,1,1.0,"This query requires specific historical information about when Calcutta was renamed to Kolkata to calculate the number of years, necessitating external factual data.",
Spanish patatas bravas are potatoes served with a red sauce made with tomatoes and chilis. Could patatas bravas have existed in 1490?,Spanish patatas bravas are potatoes served with a red sauce made with tomatoes and chilis. Could patatas bravas have existed in 1490?,1,1.0,"This query requires knowing the history of tomato, chili, and potato introduction to Europe post-Columbian times, which necessitates specific factual data.",
Where was Atlassian founded?,Where was Atlassian founded?,1,1.0,"The query asks for a specific historical fact about the founding location of Atlassian, which requires external factual data.",
What was Dick Lammi's most famous work?,What was Dick Lammi's most famous work?,1,1.0,"This query requires specific information about an individual's work, which may not be commonly known and likely needs external data to answer accurately.",
What kind of publisher is the American Fantasy Press,What kind of publisher is the American Fantasy Press,1,1.0,"The query seeks specific information about American Fantasy Press, which may require external retrieval to determine their publisher type accurately.",
Who won a gold medal alongside Waters in the coxed four?,Who won a gold medal alongside Waters in the coxed four?,1,1.0,"This query asks for a specific historical fact about Olympic rowing medalists and their teammates, which requires external retrieval to confirm the correct pairing.",
What is Hinton's citizenship?,What is Hinton's citizenship?,1,1.0,"Determining Hinton's specific citizenship might need current data, as such personal details could be less commonly known or subject to change.",
What dispatchable source of power on electric grids are faster than battery storage power stations?,What dispatchable source of power on electric grids are faster than battery storage power stations?,1,1.0,"The query asks for a detailed comparison between different energy sources, which requires specialized knowledge or external data to provide an accurate answer.",
How many people live in the city of Oakland in 2022?,How many people live in the city of Oakland in 2022?,1,1.0,"This query asks for a specific and detailed statistic (population in 2022) that requires up-to-date information from external sources, such as census data or official records.",
"Based on this passage about UCLA, tell me the difference between North Campus and South Campus and which residential areas border the campus.","Based on this passage about UCLA, tell me the difference between North Campus and South Campus and which residential areas border the campus.",1,1.0,"This query requires specific details about UCLA's campus layout and residential areas, which are likely found in the provided passage, necessitating retrieval of external information.",
Why did Georges think that Helene redirected her affections towards Walter Rogers?,Why did Georges think that Helene redirected her affections towards Walter Rogers?,1,1.0,"This query seeks to understand the motivations of fictional characters and their relationships, requiring specific context from an external source like a book or movie.",
When did the Post Office in Mission Beach first open?,When did the Post Office in Mission Beach first open?,1,1.0,"This query asks for a specific historical fact (the opening date) about a particular location, which requires external data to answer accurately.",
When did Porsche stop producing air-cooled engines in the 911?,When did Porsche stop producing air-cooled engines in the 911?,1,1.0,"This query seeks a specific historical detail about Porsche's transition to water-cooled engines, which requires external factual data.",
"Of the cities listed, which was furthest from the station?","Of the cities listed, which was furthest from the station?",1,1.0,"This query asks for a comparison of distances between cities and a station based on a provided list. Since it requires accessing specific data points (distances of each city) to determine the furthest one, external information is necessary.",
Was the hermit hummingbird hawkmoth described in the 20th or 21st century?,Was the hermit hummingbird hawkmoth described in the 20th or 21st century?,1,1.0,"The query asks for the century in which a specific moth species was described, which requires access to scientific records or taxonomic data, making it necessary to retrieve external information.",
Which English football club has won the most FA Cup trophies?,Which English football club has won the most FA Cup trophies?,1,1.0,"This query asks for a specific fact (the club with the most FA Cup trophies) that requires detailed sports statistics, which are best retrieved from an external source.",
What type of products does this company produce?,What type of products does this company produce?,1,1.0,"This query asks for specific information about a company's products, which typically requires external data or retrieval from reliable sources to provide an accurate answer.",
To acquire Swedish citizenship by naturalisation what should be the minimum age of the applicant and what documents are required.,To acquire Swedish citizenship by naturalisation what should be the minimum age of the applicant and what documents are required.,1,1.0,"The query asks for specific legal requirements regarding Swedish citizenship by naturalization, which are detailed and likely require current official data. This necessitates external retrieval for accuracy.",
What city is WFSD Radio licensed to?,What city is WFSD Radio licensed to?,1,1.0,"This query asks for specific information about a radio station's licensing details, which requires specialized knowledge or external data sources to provide an accurate answer.",
Who recorded the song Ghost Town,Who recorded the song Ghost Town,1,1.0,"This query seeks specific information about the artist behind a song, requiring external data to accurately answer.",
When did the maximum rate of water usage begin to be mandated?,When did the maximum rate of water usage begin to be mandated?,1,1.0,"The query asks for a specific historical event related to policy implementation, which requires external factual data to determine the exact start date of mandated water usage regulations.",
Where was Old French language spoken?,Where was Old French language spoken?,1,1.0,"The query asks for information about the historical distribution of Old French, which requires specific factual knowledge that may not be fully covered in general knowledge.",
How many countries in Europe do have the Euro as monetary currency?,How many countries in Europe do have the Euro as monetary currency?,1,1.0,"This query seeks a specific factual answer about current European countries using the Euro, which requires up-to-date information beyond general knowledge.",
Which of the other locations mentioned in this article is closest to Rudzk Duży?,Which of the other locations mentioned in this article is closest to Rudzk Duży?,1,1.0,"This query asks for a comparison between specific locations mentioned in an article and Rudzk Duży, requiring access to the article's content to determine proximity, which necessitates external data.",
What is Violet Jessop well know for?,What is Violet Jessop well know for?,1,1.0,"This query asks for specific historical and biographical details about Violet Jessop, which involves knowing her notable roles and contributions, requiring external factual information.",
"Based on this passage, what was the first designated space to be established in Roche Percee called? Who established it and in what year?","Based on this passage, what was the first designated space to be established in Roche Percee called? Who established it and in what year?",1,1.0,"This query seeks specific historical details (name, establisher, and year) that are unlikely to be inferred without external factual data.",
"Based on this passage, what is the median number of people per family in Zangisheh?","Based on this passage, what is the median number of people per family in Zangisheh?",1,1.0,This query asks for a specific numerical statistic (the median number of people per family) that must be retrieved from the provided passage.,
What are the features offered by Github Copilot?,What are the features offered by Github Copilot?,1,1.0,"The query seeks detailed and specialized information about GitHub Copilot's features, which may require up-to-date external data to answer accurately.",
Who is the best surfer in the world,Who is the best surfer in the world,1,1.0,"This query seeks specific information about the current top surfer, which can change and requires up-to-date data beyond general knowledge.",
What position did Manis Lamond play?,What position did Manis Lamond play?,1,1.0,"The query asks for a specific piece of information about an individual's role in sports, which is likely not available in general knowledge and requires external data.",
Why did the Prix Lupin not take place from 1915 to 1918?,Why did the Prix Lupin not take place from 1915 to 1918?,1,1.0,"This query asks for historical context about an event's suspension during World War I. It requires specific information that may not be general knowledge, necessitating external sources.",
When was the Tesla Model 3 unit one million sold?,When was the Tesla Model 3 unit one million sold?,1,1.0,"This query requests a specific fact about a sales milestone, which is best answered with external data.",
How old was Pukeiti when he died?,How old was Pukeiti when he died?,1,1.0,"This query asks for a specific fact about the age of an individual at death, which requires external data to provide an accurate answer.",
In which city is this high school located?,In which city is this high school located?,1,1.0,"This query asks for a specific location detail about a high school that requires knowing which high school is being referred to, necessitating external data for an accurate answer.",
Does Grigorievna Nazarenko live in Moscow?,Does Grigorievna Nazarenko live in Moscow?,1,1.0,"The query requires specific information about an individual's current residence, which may not be available in general knowledge and thus necessitates external retrieval.",
In which European country is this school located?,In which European country is this school located?,1,1.0,"This query requires specific information about the location of a particular school, which necessitates external data or retrieval to identify the correct country.",
"What is the meaning of ""tidal coupling""?","What is the meaning of ""tidal coupling""?",1,1.0,"The query seeks the definition of a specific scientific term, ""tidal coupling,"" which likely requires detailed or domain-specific knowledge not universally covered in general knowledge.",
What new economies developed because of the anti-slave treaties?,What new economies developed because of the anti-slave treaties?,1,1.0,"This query asks for specific historical and economic information about the impact of anti-slave treaties on new economies, which requires detailed factual data beyond general knowledge.",
Tell me about the 1999 UEFA champions league final?,Tell me about the 1999 UEFA champions league final?,1,1.0,"This query requests detailed information about a specific historical event (the 1999 UEFA Champions League final), requiring factual data that necessitates external retrieval.",
Which sub-Saharan colony was the first to gain independence?,Which sub-Saharan colony was the first to gain independence?,1,1.0,"This query asks for a specific historical fact about the first sub-Saharan colony to gain independence, which is likely a precise factual lookup rather than something inferable from general knowledge.",
Of which generation is Jiang the core leader of China,Of which generation is Jiang the core leader of China,1,1.0,"This query asks for the generational classification of Jiang Zemin as China's leader, which is a specific historical and factual matter requiring external information.",
How long did Air Finland operate?,How long did Air Finland operate?,1,1.0,"This query asks for specific historical information about the duration of Air Finland's operation, which necessitates external factual data for an accurate answer.",
What high school did Tyrone Brazelton go to?,What high school did Tyrone Brazelton go to?,1,1.0,"This query asks for specific personal information about an individual, which is unlikely to be available in general knowledge and would require external data retrieval.",
"per this description of the game of fooseball, how many full rotations are allowed in the game at the championship level?","per this description of the game of fooseball, how many full rotations are allowed in the game at the championship level?",1,1.0,"The query seeks specific information about game rules based on a provided description, requiring external retrieval to determine the allowed rotations.",
what is the greenest country ion the world,what is the greenest country ion the world,1,1.0,"Determining the ""greenest"" country involves specific metrics that are likely sourced from external data or reports, necessitating retrieval for accuracy.",
Who did Stafford throw touchdown passes to in Super Bowl LV?,Who did Stafford throw touchdown passes to in Super Bowl LV?,1,1.0,"This query requires knowing the specific details of a historical sports event, which necessitates external factual data beyond general knowledge.",
"According to this passage, what percent of the lithography machine market do Ultratech, Canon and Nikon, MKS Instruments, Lam Research and Cadence Design Systems have in aggregate?","According to this passage, what percent of the lithography machine market do Ultratech, Canon and Nikon, MKS Instruments, Lam Research and Cadence Design Systems have in aggregate?",1,1.0,"This query requests specific market share percentages from a particular passage, requiring access to external data for an accurate answer.",
Where is the Hawkeye Creek Bridge located,Where is the Hawkeye Creek Bridge located,1,1.0,"This query seeks the specific location of a bridge, which is detailed and specialized information that may require external sources to answer accurately.",
What color is Perpetual Spinach?,What color is Perpetual Spinach?,1,1.0,"The query asks for specific information about the color of Perpetual Spinach, which may require referencing external resources to provide an accurate answer.",
How many teams are in the MLB National League,How many teams are in the MLB National League,1,1.0,"This query asks for a specific fact about the number of teams in the MLB National League, which requires up-to-date information and cannot be reliably answered from general knowledge alone.",
"From the passage provided, extract the difference in caffeine between a light roast and a dark roast.","From the passage provided, extract the difference in caffeine between a light roast and a dark roast.",1,1.0,"This query requires extracting specific information (the difference in caffeine levels) from a provided passage, which necessitates access to external content for an accurate response.",
When was Mar-a-Lago built?,When was Mar-a-Lago built?,1,1.0,"This query seeks a specific historical fact about when Mar-a-Lago was built, necessitating external data retrieval.",
Where is Lugașu de Jos,Where is Lugașu de Jos,1,1.0,"This query seeks the geographical location of a specific place, which is detailed factual information that likely requires external data to accurately respond.",
Where is Smuggler Cove Shell Midden located?,Where is Smuggler Cove Shell Midden located?,1,1.0,"This query asks for the location of a specific site (Smuggler Cove Shell Midden), which requires detailed and specialized information that may not be available in general knowledge.",
Who was the first couple to win the Nobel prize?,Who was the first couple to win the Nobel prize?,1,1.0,This query asks for a specific historical fact about Nobel laureates that may not be widely known and likely requires checking historical records to determine who the first married couple was.,
What specie is the Anachemmis sober?,What specie is the Anachemmis sober?,1,1.0,"The query asks for the identification of a plant species, which is a precise scientific question requiring specialized knowledge or external data to provide an accurate answer.",
How was art used for manipulative purpose in racial discuss in the 20th century?,How was art used for manipulative purpose in racial discuss in the 20th century?,1,1.0,"This query asks for detailed historical analysis of how art was used manipulatively in racial contexts during the 20th century, requiring specific examples and specialized knowledge that necessitates external research.",
What enabled Libya to obtain rapid economic growth prior to 1990?,What enabled Libya to obtain rapid economic growth prior to 1990?,1,1.0,"This query asks for specific historical and economic factors related to Libya's growth before 1990, which likely requires detailed data or external sources for accurate answers.",
What's the oldest capital in the world?,What's the oldest capital in the world?,1,1.0,"Determining the oldest capital involves identifying specific historical facts about ancient cities, which requires detailed factual data beyond general knowledge.",
Where did David Leatherbarrow receive his PhD from?,Where did David Leatherbarrow receive his PhD from?,1,1.0,"This query asks for specific information about a person's educational background, which may require accessing external data unless the individual is well-known.",
Is Horsfieldia nervos a plant or animal?,Is Horsfieldia nervos a plant or animal?,1,1.0,"The query asks for the classification of a specific scientific name, ""Horsfieldia nervos,"" which requires specialized knowledge or external data to determine if it is a plant or animal.",
Is Divine Child High School a private or public school?,Is Divine Child High School a private or public school?,1,1.0,"The query requires specific information about a particular school's classification, which may need up-to-date data not necessarily covered in general knowledge.",
Which team was relegated from the league at the conclusion of the 1991 Season?,Which team was relegated from the league at the conclusion of the 1991 Season?,1,1.0,"This query asks for a specific historical event in sports, requiring detailed information about the 1991 season's relegation, which necessitates external data.",
Is black hole truly black?,Is black hole truly black?,1,1.0,"This question explores the nature of black holes in depth, touching on theoretical physics and possibly recent discoveries regarding their characteristics, requiring specialized external information.",
How many people died in the Cloquet fire of Illinois according to the text?,How many people died in the Cloquet fire of Illinois according to the text?,1,1.0,"This query asks for a specific detail (the number of casualties) that is likely provided in a particular text, requiring access to that external information source.",
