query,instruction,predicted_label,confidence,reasoning,think
How to deal with someone acting childish?,How to deal with someone acting childish?,0,1.0,This query seeks general advice on managing a common interpersonal situation and can be addressed using general knowledge or standard communication strategies without requiring specialized external data.,
How to tell what I am having an allergic reaction to?,How to tell what I am having an allergic reaction to?,0,1.0,"The query asks for general methods to identify an allergic reaction trigger, which are commonly known and part of general knowledge without needing external data.",
I am currently on minocin (minocycline) to treat my acne but I think I am getting itchy hives?,I am currently on minocin (minocycline) to treat my acne but I think I am getting itchy hives?,0,1.0,"This question asks about a known potential side effect of minocycline, which is part of common medical knowledge that a language model should be able to answer without external retrieval.",
"If I had hepatitis a, does that mean I can't drink alcohol for a certain number of weeks afterwards?","If I had hepatitis a, does that mean I can't drink alcohol for a certain number of weeks afterwards?",1,1.0,"This question requires specific medical information regarding the recommended period to avoid alcohol after hepatitis A, which necessitates external data.",
I get one or two acne errupting each month.How do I prevent them?Also the acne leaves scars on my skin. Is there any off the shelf product i could try,I get one or two acne errupting each month.How do I prevent them?Also the acne leaves scars on my skin. Is there any off the shelf product i could try,1,1.0,"This query seeks specific advice on preventing acne and treating scars, requiring specialized or updated information about effective products and treatments.",
"I got my period twice within 3 weeks, for the second time within 4 months. Why? I haven't been stressed or changed my exercise plan or diet recently..","I got my period twice within 3 weeks, for the second time within 4 months. Why? I haven't been stressed or changed my exercise plan or diet recently..",0,1.0,"The query asks for an explanation of irregular menstruation patterns, which is a common medical topic that can be addressed using general knowledge about possible causes like hormonal changes or medical conditions.",
"I had arthroscopic surgery on my left knee almost a month ago but it seems to be filling up with synovial fluid, shoulde i go back to work or wait until i see the dr.?","I had arthroscopic surgery on my left knee almost a month ago but it seems to be filling up with synovial fluid, shoulde i go back to work or wait until i see the dr.?",1,1.0,"This query seeks personalized medical advice regarding symptoms after surgery, which typically requires specialized medical knowledge beyond general knowledge.",
I have tinea versicolor in the testicles and tip of penis. It gets itchy and dry. The doctor sent me a salycilic acid wash. Makes sense?,I have tinea versicolor in the testicles and tip of penis. It gets itchy and dry. The doctor sent me a salycilic acid wash. Makes sense?,1,1.0,"This question seeks medical advice about a specific condition and its treatment, requiring specialized information that likely necessitates external data retrieval.",
"I'm 16 and my left testicle started having somewhat severe pain in it, it hurts more than extremely when I walk and it hits my pants I can't drive help?","I'm 16 and my left testicle started having somewhat severe pain in it, it hurts more than extremely when I walk and it hits my pants I can't drive help?",1,1.0,"This query presents a specific medical concern (severe testicular pain) that requires specialized knowledge for diagnosis and advice, necessitating external retrieval of medical information.",
I'm taking anxiety and depression medicine to avoid panic attacks mainly & avoid er. Can i take more than 0.5 if i feel panic and 0.5 mg doesn't work?,I'm taking anxiety and depression medicine to avoid panic attacks mainly & avoid er. Can i take more than 0.5 if i feel panic and 0.5 mg doesn't work?,1,1.0,"This query involves a medical question regarding medication dosage adjustments, which requires specific medical advice that typically necessitates external retrieval from reliable health resources.",
"Is 4 mg intuniv & 2mgrisperdal too much for a 5 1/2 yr old, im worried..His neurologist prescibed for pddnos & adhd?","Is 4 mg intuniv & 2mgrisperdal too much for a 5 1/2 yr old, im worried..His neurologist prescibed for pddnos & adhd?",1,1.0,"This query asks about the appropriateness of specific medication dosages for a child with particular medical conditions, which requires specialized medical knowledge or consultation with healthcare professionals. It is not something that can be answered from general knowledge.",
Is aloe vera juice good for hypertension?,Is aloe vera juice good for hypertension?,1,1.0,"This query seeks specialized health advice regarding the effect of aloe vera juice on hypertension, requiring detailed medical or scientific information to answer accurately.",
Is fecal bacteria really unhealthy compared to other bacteria when you are pregnant?,Is fecal bacteria really unhealthy compared to other bacteria when you are pregnant?,1,1.0,"This query involves a detailed comparison of fecal bacteria's health impact during pregnancy, which may require specialized knowledge about bacterial classifications and their effects, making external retrieval necessary.",
Is hypno-therapy dangeorus?,Is hypno-therapy dangeorus?,0,1.0,"The query asks about the general safety of hypnotherapy, which is a known topic within common medical and therapeutic knowledge. A language model can provide an overview without needing external data.",
Is it normal to have nausea and loss of appetite when on your period?,Is it normal to have nausea and loss of appetite when on your period?,0,1.0,"This query asks about common physical symptoms during menstruation, which is general knowledge that can be answered from known information without needing external data.",
My child has low alkaline phosphatase level on his lab results. Why?,My child has low alkaline phosphatase level on his lab results. Why?,1,1.0,This query involves a specific medical lab result that requires detailed medical expertise and potentially up-to-date information to accurately explain possible causes.,
"My husband has chronic itching w/ no rashes/hives.He has seen an allergist, dermatologist, acupuncturist, and therapist. Bloodwrk negative any ideas?","My husband has chronic itching w/ no rashes/hives.He has seen an allergist, dermatologist, acupuncturist, and therapist. Bloodwrk negative any ideas?",1,1.0,"This query involves a specific medical condition requiring specialized knowledge beyond common facts, necessitating external information for a detailed answer.",
My six year old daughter has been on antibiotics over 48hours and started running a fever over 101 and she says her head hurts. Should I take her back in? Given antibiotics for sinus infection but has been getting stuff up when coughing. She has a hist,My six year old daughter has been on antibiotics over 48hours and started running a fever over 101 and she says her head hurts. Should I take her back in? Given antibiotics for sinus infection but has been getting stuff up when coughing. She has a hist,1,1.0,"This query seeks specific medical advice regarding a child's health condition after antibiotic treatment, which requires specialized medical knowledge for an appropriate response.",
"Q. Hi, I am almost 12 weeks pregnant and my food had tiny particles of plastic (by mistake) so I am worried; in case I accidentally swallowed some : (?","Q. Hi, I am almost 12 weeks pregnant and my food had tiny particles of plastic (by mistake) so I am worried; in case I accidentally swallowed some : (?",1,1.0,"This query involves a specific health concern regarding potential exposure to plastic particles during pregnancy, requiring detailed medical and factual information beyond general knowledge.",
Screaky voice. How can I get a more masculine voice?,Screaky voice. How can I get a more masculine voice?,0,1.0,"The query seeks advice on altering vocal tone, which is a general topic that can typically be addressed using common knowledge about voice techniques and exercises.",
Since I was a child my joints have always clicked but over the years it has got very painful special when it rains or I am cold? How do I fix?,Since I was a child my joints have always clicked but over the years it has got very painful special when it rains or I am cold? How do I fix?,1,1.0,This query asks for medical advice regarding a health condition that could require specialized knowledge or external resources for an accurate response.,
Was treated for PID caused by BV only with one dose of azythromyacin and injection of antibiotics. PID never went away. What should i do?,Was treated for PID caused by BV only with one dose of azythromyacin and injection of antibiotics. PID never went away. What should i do?,1,1.0,"This query involves a specific medical situation requiring professional advice, which necessitates accessing specialized medical information for appropriate guidance.",
What are the causes of perianal abscess?,What are the causes of perianal abscess?,1,1.0,"This query asks for specific medical information about the causes of a perianal abscess, which requires specialized knowledge or external resources for an accurate and detailed response.",
What does a doctor do in externsl cronic anal fissure and pls tell me the process of sugery of cronic anal fissure outside my anal there is one small?,What does a doctor do in externsl cronic anal fissure and pls tell me the process of sugery of cronic anal fissure outside my anal there is one small?,1,1.0,"The query asks for specific medical information about treating external chronic anal fissures and the surgical process, which requires detailed medical knowledge not typically available in general knowledge.",
What do you recommend to treat a severed posterior longitudinal ligament?,What do you recommend to treat a severed posterior longitudinal ligament?,1,1.0,"This query seeks detailed medical advice on treating a specific injury, necessitating specialized knowledge that likely requires external retrieval for accuracy.",
"What is mecoblamin? What is this medicine usus for?  My mother is diabetic patient, does this medicine useful? Thank you in advance","What is mecoblamin? What is this medicine usus for?  My mother is diabetic patient, does this medicine useful? Thank you in advance",1,1.0,"This query seeks specific medical advice regarding mecoblamin and its use for diabetes, requiring detailed medical information that may need external sources to answer accurately.",
What is the cleanest/safest SSRI for general stress-induced anxiety?,What is the cleanest/safest SSRI for general stress-induced anxiety?,1,1.0,"This query seeks specific medical advice about SSRIs, which necessitates detailed, specialized knowledge that a language model may not have without external data.",
What is the definition or description of: activity modification?,What is the definition or description of: activity modification?,0,1.0,"The term ""activity modification"" refers to making changes in activities, which is a broad and commonly understood concept. A language model can provide a standard explanation based on general knowledge.",
Whats a type 1 shellfish allergy?,Whats a type 1 shellfish allergy?,0,1.0,"This query seeks a definition of a type 1 shellfish allergy, which is based on general medical knowledge about allergies and their classifications, making retrieval unnecessary.",
What should I do if I have an allergy of sneezing when i wake upplease tell me what type of disease or allergy it is?,What should I do if I have an allergy of sneezing when i wake upplease tell me what type of disease or allergy it is?,1,1.0,Determining the specific allergy type requires detailed medical knowledge or external data to correlate symptoms with known allergies.,
What specific exercises would help bursitis of the suprapatellar?,What specific exercises would help bursitis of the suprapatellar?,1,1.0,"This query seeks specific medical advice related to an exercise regimen for a particular condition, requiring detailed and possibly updated medical information.",
"What to do if I have hypertension, depression of lost love, completely broke. what to do?","What to do if I have hypertension, depression of lost love, completely broke. what to do?",1,1.0,"This query involves specific medical and mental health conditions (hypertension, depression) as well as financial advice, which require detailed and potentially specialized information best retrieved from external sources.",
Which hormones are responsible for giving you a male features on your face?,Which hormones are responsible for giving you a male features on your face?,0,1.0,"This query asks about specific biological information that is part of general knowledge (e.g., testosterone's role in male特征 development), which a language model can answer without external retrieval.",
Which treatment works the best and fastest for aortic regurgitation?,Which treatment works the best and fastest for aortic regurgitation?,1,1.0,"The query asks for a specific medical treatment recommendation, which requires detailed and up-to-date medical information that is best retrieved from external sources.",
Why does my arm always fall asleep? Like to the point where i can't move it at all,Why does my arm always fall asleep? Like to the point where i can't move it at all,1,1.0,"This query concerns a specific medical symptom that may require detailed medical knowledge to explain accurately, necessitating external retrieval.",
Why do I have white pigmentation skin colour around my anus and extreme itching and blisters around the anus and anal cleft?,Why do I have white pigmentation skin colour around my anus and extreme itching and blisters around the anus and anal cleft?,1,1.0,"This query involves specific medical symptoms (white pigmentation, itching, blisters) around the anus, which likely require specialized medical knowledge or consultation with a healthcare professional for an accurate diagnosis and treatment. The information needed is detailed and context-specific, necessitating external retrieval.",
Will taking birth control pills for treatment of dysmenorrhea affect my fertility later once married?,Will taking birth control pills for treatment of dysmenorrhea affect my fertility later once married?,1,1.0,"This query involves a specific medical concern about the long-term effects of birth control pills on fertility, which requires detailed and specialized medical knowledge to answer accurately.",
"35 years old female no heart problems, sharp pain in chest/heart. Only last a min. Hits anytime driving sitting takes my breath away, happening more?","35 years old female no heart problems, sharp pain in chest/heart. Only last a min. Hits anytime driving sitting takes my breath away, happening more?",1,1.0,"The query describes specific medical symptoms that may require professional medical expertise to evaluate, necessitating retrieval of detailed health information.",
A doctor prescribed voren supp 12.5mg for my 3-year-old boy for fever. Isnt voren used for post-op inflammatn?,A doctor prescribed voren supp 12.5mg for my 3-year-old boy for fever. Isnt voren used for post-op inflammatn?,1,1.0,"This query involves verifying the correct medical usage of a specific medication, which requires detailed medical information to ensure accuracy and safety.",
After I had intercourse with hubby I noticed slight fresh blood and burning sensation and urge to urinate. What might be the cause?,After I had intercourse with hubby I noticed slight fresh blood and burning sensation and urge to urinate. What might be the cause?,1,1.0,This query involves specific physical symptoms that may indicate a medical condition requiring professional expertise and accurate information beyond general knowledge.,
"After two weeks of oral surgery, my cheek is still swollen and I feel hard lumps on the lower part. It also itches outside. Help?","After two weeks of oral surgery, my cheek is still swollen and I feel hard lumps on the lower part. It also itches outside. Help?",1,1.0,"This query seeks medical advice regarding post-surgery symptoms, which requires specialized knowledge or professional consultation rather than general information.",
"Always use birth control, always use condoms with spermicide, always pull out with condom, but my period is late. Stress from college or pregnancy?","Always use birth control, always use condoms with spermicide, always pull out with condom, but my period is late. Stress from college or pregnancy?",1,1.0,"This query asks for a medical evaluation of potential causes for a late period, specifically considering the use of birth control methods. It requires specialized medical knowledge or external data to accurately assess the situation and provide reliable advice.",
Any reliable blood test for ovarian cancer?,Any reliable blood test for ovarian cancer?,1,1.0,"This question seeks specific medical information regarding diagnostic tools for a serious condition, requiring accurate, up-to-date medical knowledge that likely necessitates external data.",
Been having chest pains a lot lately especially when i sit in certain positions ?,Been having chest pains a lot lately especially when i sit in certain positions ?,1,1.0,This query concerns a specific health symptom (chest pains in certain positions) that may require medical expertise or detailed factual knowledge to address properly.,
Been having this tenderness and pain in my breast for almost weeks....Not pregnant too. What coukd it be?,Been having this tenderness and pain in my breast for almost weeks....Not pregnant too. What coukd it be?,1,1.0,This query involves symptoms of potential health concern that require specific medical expertise or factual information to address properly.,
Borderline changes to Brain MRI in 1 yr being referred to a neuroradiologist does this mean something sinister?,Borderline changes to Brain MRI in 1 yr being referred to a neuroradiologist does this mean something sinister?,1,1.0,"This query pertains to interpreting medical imaging results and specialist referral, which involves specific medical knowledge that typically requires external expertise or data for an accurate response.",
Both arms numb no chest pain just a lil dizzy. And a little heart burn I have gastritis and back arthritis.,Both arms numb no chest pain just a lil dizzy. And a little heart burn I have gastritis and back arthritis.,0,1.0,"This is a description of symptoms without a specific question, making it a general health-related statement that doesn't require fact-checking or specialized data.",
"Brain epidermoid, is it the same as a  meningioma tumor the difference between the two       3cm brain stem / 8cm front lobe?","Brain epidermoid, is it the same as a  meningioma tumor the difference between the two       3cm brain stem / 8cm front lobe?",0,1.0,"The query asks about the differences between two specific brain tumors and mentions their sizes in different lobes. While the terms are technical, a language model can provide general information on these conditions without needing external retrieval.",
Bright red blood on TP after first wipe after BM; then other wipes no more blood. I drink way to much pop and very little water...if that matters. ?,Bright red blood on TP after first wipe after BM; then other wipes no more blood. I drink way to much pop and very little water...if that matters. ?,1,1.0,This query involves a specific health-related symptom (rectal bleeding) that likely requires detailed medical knowledge or consultation with a healthcare professional to address accurately.,
C4-5 right uncovertebral osteophyte/disc bulge complex  broad disc bulge right neural foraminal stenosis & abutment of ventral cervical cord. Meaning?,C4-5 right uncovertebral osteophyte/disc bulge complex  broad disc bulge right neural foraminal stenosis & abutment of ventral cervical cord. Meaning?,1,1.0,"This query involves specific medical terminology related to spinal conditions. To provide an accurate and detailed explanation, external medical knowledge or databases are necessary.",
Can a menstrual blood clot travel to your heart or lungs like other blood clots can?,Can a menstrual blood clot travel to your heart or lungs like other blood clots can?,1,1.0,"This query asks about the possibility of menstrual blood clots traveling to vital organs, which is a specific medical question requiring detailed and specialized information beyond general knowledge.",
Can Celiac Disease mimic MS even after being treated with a strict gluten-free diet? Could my untreated Celiac have caused my brain lesions?,Can Celiac Disease mimic MS even after being treated with a strict gluten-free diet? Could my untreated Celiac have caused my brain lesions?,1,1.0,"This query involves specific medical conditions (Celiac Disease and Multiple Sclerosis) and their possible clinical presentations. It requires detailed medical knowledge to address the potential mimicry and causation, which necessitates external retrieval for accurate answers.",
Can fibroadenomas turn into breast cancer?,Can fibroadenomas turn into breast cancer?,1,1.0,"The query asks whether fibroadenomas can turn into breast cancer, which is a specific medical fact requiring detailed information. Retrieval of external data is needed to provide an accurate answer.",
Can kidney polysystic be cured?,Can kidney polysystic be cured?,1,1.0,"This query asks for specific medical information regarding whether a condition can be cured, which requires up-to-date and precise medical knowledge that typically necessitates external data.",
Can one get rid of type 2 diabetes with excercise and a good diet?,Can one get rid of type 2 diabetes with excercise and a good diet?,1,1.0,"This query asks for specific medical advice regarding the effectiveness of exercise and diet in treating type 2 diabetes, which may require detailed or specialized health information that a language model might not have without external data.",
Can you please tell me why it'simportant to promote healthy eating for children and young people?,Can you please tell me why it'simportant to promote healthy eating for children and young people?,0,1.0,"This query asks for the general importance of promoting healthy eating, which can be addressed using common knowledge about health and nutrition without requiring specific external data.",
Can you tell me how is an echocardiography performed?,Can you tell me how is an echocardiography performed?,1,1.0,"The query asks for a detailed explanation of how echocardiography is performed, which involves specific medical procedures and techniques that require specialized knowledge beyond general information.",
Can you tell me the names of health care institutions or pharmacies known for compounding voriconazole 1% eye drops solution ?,Can you tell me the names of health care institutions or pharmacies known for compounding voriconazole 1% eye drops solution ?,1,1.0,This query seeks specific information about health care institutions or pharmacies that provide a specialized compound medication (voriconazole 1% eye drops). Such details are likely stored in external databases and cannot be answered from general knowledge alone.,
Could my sinus allergies make it hard to breathe?,Could my sinus allergies make it hard to breathe?,0,1.0,"This query asks about a known medical condition and its effects, which falls within general knowledge that a language model can answer without external retrieval.",
"Could the symptoms of caffeine overdose will remain more than 2 month, even if we already stop the intake of caffeine?","Could the symptoms of caffeine overdose will remain more than 2 month, even if we already stop the intake of caffeine?",1,1.0,"This query asks about the persistence of caffeine overdose symptoms, which is a specific medical question requiring detailed factual information that may not be available in general knowledge.",
Could walking on a soft mattress contribute to bowlegged-ness?,Could walking on a soft mattress contribute to bowlegged-ness?,1,1.0,"The query asks about the potential medical effect of walking on a soft mattress on leg alignment, which is a specific health-related question that may require specialized medical knowledge or research to answer accurately.",
"Dear Dr, feeling in my eyes lights are too bright feel dizzy with very sore sides of neck front and tight jaw knot in back of neck sleep apnea 6 weeks?","Dear Dr, feeling in my eyes lights are too bright feel dizzy with very sore sides of neck front and tight jaw knot in back of neck sleep apnea 6 weeks?",1,1.0,"This query presents multiple specific symptoms and conditions (e.g., photophobia, dizziness, neck pain) that may require specialized medical knowledge for proper diagnosis and advice, necessitating external retrieval of relevant health information.",
Does anyone know what to do with a child around the age of 13 who suffers from serious anxiety?,Does anyone know what to do with a child around the age of 13 who suffers from serious anxiety?,1,1.0,"This query seeks advice on handling a specific and sensitive issue regarding adolescent mental health, which requires specialized knowledge or professional resources that go beyond general information.",
Does anything during pregnancy cause esophageal atresia?,Does anything during pregnancy cause esophageal atresia?,1,1.0,"This query asks for specific medical information regarding the causes of esophageal atresia during pregnancy, which would require detailed medical knowledge or external sources to answer accurately.",
Does breastfeeding only on one side alter a woman's risk of breast cancer in the non-suckled breast? My son had a preference so I nursed on the left.,Does breastfeeding only on one side alter a woman's risk of breast cancer in the non-suckled breast? My son had a preference so I nursed on the left.,1,1.0,"This question delves into a specific medical topic regarding breastfeeding and its effects on breast cancer risk, which may require specialized knowledge or recent studies.",
Does cut on lip turn into white bump?,Does cut on lip turn into white bump?,0,1.0,"This query asks about a common physical reaction to an injury, which is likely covered in general medical knowledge known by the language model.",
"Does flax seed oil, about 3 grams a day as prescribed by my opthamologist interact with ortho trip cyclen or other birth control pills?","Does flax seed oil, about 3 grams a day as prescribed by my opthamologist interact with ortho trip cyclen or other birth control pills?",1,1.0,"This query asks about the interaction between flaxseed oil and a specific birth control pill, which requires detailed pharmacological knowledge that is best retrieved from external sources.",
Does 'open' reduction with intramedullary nailing of tibial shaft fracture causes muscle weakness and slow bone healing due to soft tissue damage?,Does 'open' reduction with intramedullary nailing of tibial shaft fracture causes muscle weakness and slow bone healing due to soft tissue damage?,1,1.0,"This query requires specific medical information about the outcomes of a surgical procedure, making it necessary to retrieve external data for an accurate response.",
Does stress causes hematospermia?,Does stress causes hematospermia?,1,1.0,"This query asks for a specific medical cause-effect relationship between stress and hematospermia, which requires specialized medical knowledge that may necessitate external sources.",
Does the herb kalawalla (polypodium leucotamos) actually work for autoimmune disorders?,Does the herb kalawalla (polypodium leucotamos) actually work for autoimmune disorders?,1,1.0,"This query asks for specialized information about the effectiveness of an herb in treating autoimmune disorders, which would require accessing specific medical or scientific literature to answer accurately.",
Does vitamin D come in shot form?,Does vitamin D come in shot form?,0,1.0,"The query asks about the availability of vitamin D in shot form, which is a known fact in medical practice and can be answered using general knowledge without needing external data.",
"Ejection fraction of gb very low. Diet stripped down to lean meats, fruits, vegs. Reflux in throat that is constant yet varies in intensity. Related?","Ejection fraction of gb very low. Diet stripped down to lean meats, fruits, vegs. Reflux in throat that is constant yet varies in intensity. Related?",1,1.0,"The query explores a potential medical relationship between gallbladder function and reflux, requiring specific medical knowledge to answer accurately.",
Female.Mom is 150cm and dad is 156cm.I was wondering if i can be at least 160-165cm tall?,Female.Mom is 150cm and dad is 156cm.I was wondering if i can be at least 160-165cm tall?,0,1.0,"This query seeks a general estimation of height based on family data, which can be answered with known growth patterns and averages without needing external retrieval.",
"Got high level of hb & doctor advised me to repeat the fbc test in april2014 again.Now i got 17.6% hemoglobin level wht food u recommend, names plz?","Got high level of hb & doctor advised me to repeat the fbc test in april2014 again.Now i got 17.6% hemoglobin level wht food u recommend, names plz?",1,1.0,"The query asks for specific food recommendations to manage a high hemoglobin level, which may require specialized medical or nutritional advice beyond general knowledge.",
"Got period after 4mo and it lasted 11 days,which never happens.I've been experiencing dull uncomfortable on/off pain by my uterus.What could it be?","Got period after 4mo and it lasted 11 days,which never happens.I've been experiencing dull uncomfortable on/off pain by my uterus.What could it be?",1,1.0,"This query involves personal health symptoms that may require specialized medical knowledge to diagnose accurately, necessitating external retrieval for precise information.",
Have an itchy rash after 4 days of biaxin (clarithromycin). Have taken this before and was fine. Should i continue it?,Have an itchy rash after 4 days of biaxin (clarithromycin). Have taken this before and was fine. Should i continue it?,1,1.0,"This query asks for advice about an adverse reaction to a medication, which requires specific medical knowledge or external guidelines to provide a safe recommendation.",
Have had hard cysts on my scalp for quite very long now. They grew from 1 to about 8 to 9 now. Out of which 3 have grown a little large. They are painless but is uncomfortable while brushing my hair. Although that is not my main concern. Have been treated,Have had hard cysts on my scalp for quite very long now. They grew from 1 to about 8 to 9 now. Out of which 3 have grown a little large. They are painless but is uncomfortable while brushing my hair. Although that is not my main concern. Have been treated,1,1.0,"This query involves a health-related issue (scalp cysts) and seeks advice on treatment and management, which typically requires specialized medical knowledge that may not be available in the model's training data.",
